iter,train_loss,train_acc,test_loss,test_acc,time
1,2.305903,10.000000,2.305903,10.000000,0.000000
2,2.398876,10.000000,2.398876,10.000000,0.292933
3,2.410896,10.000000,2.410897,10.000000,0.166102
4,2.353601,10.000000,2.353602,10.000000,0.146113
5,2.374097,10.000000,2.374097,10.000000,0.141264
6,2.328317,10.000000,2.328317,10.000000,0.104295
7,2.361922,10.000000,2.361922,10.000000,0.247327
8,2.366693,10.000000,2.366692,10.000000,0.126771
9,2.318602,10.000000,2.318601,10.000000,0.158799
10,2.326671,10.000000,2.326670,10.000000,0.163068
11,2.317401,10.000000,2.317396,10.000000,0.182590
12,2.312428,10.000000,2.312396,10.000000,0.220064
13,2.322053,10.000000,2.322049,10.000000,0.180231
14,2.308316,10.000000,2.308189,10.000000,0.144919
15,2.312993,10.000000,2.312652,10.010000,0.098071
16,2.308730,10.000000,2.308724,10.000000,0.343123
17,2.314222,10.000000,2.314139,10.000000,0.265157
18,2.312422,9.994000,2.312064,10.030000,0.089362
19,2.314984,10.000000,2.314904,10.000000,0.188244
20,2.314670,10.012000,2.314050,9.970000,0.151135
21,2.311002,10.002000,2.310587,10.010000,0.138838
22,2.314113,10.002000,2.313521,10.010000,0.137217
23,2.313100,10.072000,2.311856,10.090000,0.126320
24,2.311298,10.758000,2.308613,11.120000,0.174648
25,2.304323,10.848000,2.301557,11.100000,0.099453
26,2.300776,10.902000,2.298123,11.120000,0.163021
27,2.308273,11.038000,2.305482,11.050000,0.214036
28,2.302561,10.510000,2.299499,10.910000,0.171248
29,2.318551,10.002000,2.315632,10.020000,0.124294
30,2.343785,10.254000,2.341405,10.500000,0.168945
31,2.336040,10.858000,2.333489,11.210000,0.110268
32,2.305118,11.122000,2.301385,11.340000,0.110119
33,2.304776,10.350000,2.300283,10.640000,0.158216
34,2.330912,10.670000,2.327998,10.950000,0.160684
35,2.304700,10.184000,2.299385,10.340000,0.186099
36,2.322898,11.344000,2.318467,11.860000,0.142659
37,2.289474,12.150000,2.282373,13.050000,0.095961
38,2.292391,11.284000,2.285118,11.500000,0.101932
39,2.303504,10.526000,2.295231,10.830000,0.144157
40,2.267693,13.474000,2.257605,14.140000,0.169203
41,2.281810,10.876000,2.270418,11.330000,0.171177
42,2.249592,12.982000,2.240884,13.410000,0.121585
43,2.198231,16.008000,2.183418,16.750000,0.185738
44,2.257276,11.794000,2.241953,12.430000,0.110040
45,2.302546,12.388000,2.281958,12.910000,0.202332
46,2.225466,15.480000,2.213128,15.510000,0.118020
47,2.191879,15.266000,2.179250,15.210000,0.153190
48,2.151132,16.916000,2.137058,17.670000,0.099236
49,2.202977,14.028000,2.189033,14.730000,0.116804
50,2.145446,20.300000,2.131425,20.950000,0.142955
51,2.160446,20.188000,2.145260,21.750000,0.158601
52,2.180896,16.026000,2.167677,16.500000,0.144682
53,2.161689,18.372000,2.148250,19.890000,0.136075
54,2.086179,21.722000,2.073678,22.530000,0.142857
