iter,train_loss,train_acc,test_loss,test_acc,time
1,2.317370,10.000000,2.317370,10.000000,0.000000
2,2.320326,9.480000,2.320327,9.000000,0.675022
3,2.322989,10.000000,2.322977,10.000000,0.233197
4,2.316182,10.000000,2.316101,10.000000,0.328661
5,2.324696,10.000000,2.324577,10.000000,0.707784
6,2.333689,9.528000,2.332570,9.570000,0.530311
7,2.328166,10.492000,2.323933,10.750000,0.292518
8,2.334418,13.150000,2.326707,13.570000,0.618904
9,2.364554,12.140000,2.356813,12.540000,0.506188
10,2.374352,12.680000,2.371259,13.010000,0.413063
11,2.292797,16.322000,2.289636,17.120000,0.875652
12,2.334442,16.264000,2.348913,16.630000,0.749303
13,2.150620,20.300000,2.166967,21.170000,0.645754
14,2.081971,21.926000,2.087978,22.870000,0.474336
15,1.975722,24.264000,1.971696,25.400000,0.498832
16,1.966985,24.608000,1.962316,25.830000,0.731221
17,1.924699,25.892000,1.902752,27.530000,0.524531
18,1.883525,27.624000,1.856620,29.410000,0.677934
19,1.887870,27.410000,1.856018,29.010000,0.698386
20,1.847507,29.330000,1.811551,31.190000,0.536541
21,1.839986,29.936000,1.804704,31.380000,0.476836
22,1.828540,30.498000,1.785101,32.380000,0.809354
23,1.818273,31.144000,1.770669,32.790000,0.576122
24,1.807125,32.126000,1.764169,33.250000,0.191406
25,1.801266,32.414000,1.756374,33.810000,0.976067
26,1.781856,33.202000,1.736580,34.800000,0.456226
27,1.780630,33.622000,1.722904,36.050000,0.564305
28,1.761379,34.186000,1.714227,36.440000,0.354221
29,1.756229,34.544000,1.705883,37.040000,0.476899
30,1.741866,34.984000,1.694908,37.190000,0.232256
31,1.732985,35.616000,1.682215,38.020000,0.648977
32,1.727836,35.680000,1.682236,37.790000,0.815018
33,1.710727,36.570000,1.658509,38.690000,0.507195
34,1.699109,36.652000,1.663234,38.290000,0.621418
35,1.707059,36.556000,1.670903,38.290000,0.584345
36,1.687061,36.982000,1.641396,39.080000,0.741008
37,1.680253,37.456000,1.633764,39.610000,0.665567
38,1.669519,37.860000,1.632801,39.650000,0.176319
39,1.664308,38.132000,1.621997,39.760000,0.457723
40,1.649162,38.560000,1.630625,39.310000,0.604735
41,1.643733,38.736000,1.622010,39.110000,0.631847
42,1.635955,39.350000,1.597996,40.730000,0.206621
43,1.644592,38.848000,1.627742,39.470000,0.438887
44,1.658690,38.062000,1.650897,38.660000,0.785381
45,1.628128,39.270000,1.609182,40.350000,0.404470
46,1.613339,39.650000,1.603319,40.460000,0.805075
47,1.617801,39.638000,1.616045,40.550000,0.606301
48,1.611480,39.958000,1.604198,40.890000,0.566323
49,1.603444,40.572000,1.575581,41.650000,0.351176
50,1.600090,40.520000,1.566726,42.220000,0.682904
51,1.585805,41.170000,1.571884,41.560000,0.642930
52,1.583102,41.228000,1.584958,41.480000,0.398385
53,1.579983,41.326000,1.580228,41.290000,0.675207
54,1.591083,40.834000,1.592607,40.760000,0.785226
55,1.575657,41.630000,1.575377,41.850000,0.643722
56,1.582132,41.362000,1.597707,41.200000,0.614306
57,1.563292,42.136000,1.572607,42.380000,0.609730
58,1.546113,42.928000,1.546300,43.380000,0.690613
59,1.540355,43.138000,1.530859,43.520000,0.517149
60,1.540174,42.830000,1.530766,43.720000,0.705244
61,1.526092,43.834000,1.520705,44.090000,0.788799
62,1.518852,44.158000,1.519198,44.330000,0.513178
63,1.523601,44.172000,1.528816,44.250000,0.534643
64,1.497182,45.008000,1.505774,44.850000,0.466180
65,1.525717,44.054000,1.544419,43.830000,0.528159
