iter,train_loss,train_acc,test_loss,test_acc,time
1,2.305469,10.000000,2.305469,10.000000,0.000000
2,2.375721,10.000000,2.375721,10.000000,0.025698
3,2.405312,10.124000,2.403712,10.200000,0.024742
4,2.226537,15.290000,2.221482,16.160000,0.024445
5,2.331916,13.588000,2.337553,14.020000,0.028272
6,2.144550,17.056000,2.143102,16.840000,0.028799
7,2.257703,16.152000,2.201921,17.440000,0.027451
8,2.140925,17.496000,2.105246,18.450000,0.028385
9,2.108624,18.682000,2.114657,18.710000,0.028274
10,1.976587,20.856000,1.951010,21.470000,0.028260
11,1.949221,21.876000,1.924576,22.450000,0.028489
12,1.939883,23.758000,1.911708,24.870000,0.024973
13,1.965249,23.478000,1.935694,24.550000,0.027598
14,2.046378,24.858000,2.043033,25.900000,0.021652
15,1.946026,24.866000,1.926953,26.020000,0.026511
16,1.926160,25.934000,1.891199,27.380000,0.024378
17,1.882671,27.402000,1.840421,29.110000,0.024363
18,1.891498,26.938000,1.856464,28.290000,0.029297
19,1.904705,26.540000,1.864654,27.970000,0.027954
20,1.885366,28.012000,1.815011,30.100000,0.023269
21,1.788689,29.802000,1.770803,30.930000,0.025580
22,1.830594,30.470000,1.827155,30.530000,0.021864
23,1.732089,32.728000,1.710769,34.200000,0.027752
24,1.770874,32.060000,1.718142,34.470000,0.024443
25,1.756554,33.376000,1.704849,35.710000,0.027217
26,1.683597,34.782000,1.627132,36.230000,0.025836
27,1.710084,35.074000,1.663732,36.830000,0.027283
28,1.724994,35.330000,1.646017,38.360000,0.026562
29,1.651179,37.658000,1.618054,38.910000,0.026980
30,1.686757,34.628000,1.673486,35.090000,0.030546
31,1.630936,38.000000,1.590235,39.220000,0.027331
32,1.608626,39.490000,1.578650,40.160000,0.025766
33,1.614219,38.380000,1.613382,39.060000,0.028396
34,1.579411,39.766000,1.535723,41.000000,0.023909
35,1.570768,40.208000,1.527793,41.950000,0.023924
36,1.582799,41.080000,1.530305,42.770000,0.024384
37,1.547235,40.670000,1.519358,41.570000,0.024019
38,1.511862,43.096000,1.489354,44.000000,0.024646
39,1.567623,40.534000,1.531274,42.380000,0.024920
40,1.519404,42.486000,1.493392,42.900000,0.024116
41,1.543050,41.706000,1.509094,42.320000,0.025525
42,1.567444,39.804000,1.561255,39.870000,0.027288
43,1.553641,38.808000,1.493155,41.590000,0.024511
44,1.479251,44.298000,1.456769,45.180000,0.027354
45,1.457304,44.776000,1.458391,45.080000,0.026942
46,1.516792,42.828000,1.476017,44.130000,0.024464
47,1.496602,42.512000,1.482604,43.440000,0.028090
48,1.504603,43.868000,1.441141,46.290000,0.023336
49,1.426329,47.280000,1.420722,46.570000,0.028817
50,1.519830,41.638000,1.550225,41.240000,0.027629
51,1.440414,45.304000,1.424890,46.280000,0.027120
52,1.396301,47.468000,1.377930,48.290000,0.023236
53,1.410648,47.096000,1.365208,48.500000,0.024333
54,1.420880,44.902000,1.397845,46.020000,0.024288
55,1.408335,46.938000,1.394452,47.300000,0.025230
56,1.400768,45.672000,1.385017,47.100000,0.023657
57,1.365886,48.292000,1.358242,48.730000,0.025951
58,1.299316,52.114000,1.280321,52.500000,0.024634
59,1.405637,48.294000,1.359105,49.290000,0.026072
60,1.364057,49.602000,1.320511,50.210000,0.025664
61,1.497037,45.994000,1.477326,46.510000,0.027185
62,1.483004,45.456000,1.469579,45.720000,0.024842
63,1.340809,50.780000,1.325068,51.230000,0.025377
64,1.316539,50.908000,1.322313,50.570000,0.024260
65,1.263119,53.598000,1.254189,53.760000,0.031367
66,1.307809,51.998000,1.285352,52.910000,0.028999
67,1.288070,52.146000,1.287527,52.110000,0.025960
68,1.206966,56.080000,1.192120,56.190000,0.026311
69,1.225518,53.898000,1.213319,54.510000,0.027353
70,1.317079,50.190000,1.317806,50.330000,0.026719
71,1.257660,54.272000,1.268861,54.320000,0.026080
72,1.238461,54.696000,1.251467,54.270000,0.024326
73,1.260650,53.750000,1.274444,53.300000,0.024926
74,1.410830,47.320000,1.483237,45.070000,0.027840
75,1.623415,39.944000,1.692237,39.250000,0.022082
76,1.483142,44.312000,1.529829,42.950000,0.025891
77,1.394526,47.886000,1.441603,46.510000,0.026802
78,1.478069,46.756000,1.554370,44.770000,0.026943
79,1.184438,56.836000,1.198186,55.380000,0.024267
80,1.218939,54.906000,1.221352,54.540000,0.023637
81,1.227506,54.940000,1.231200,54.960000,0.028673
82,1.166902,55.528000,1.162919,56.100000,0.024951
83,1.122395,58.878000,1.113022,59.630000,0.025320
84,1.146336,57.202000,1.171457,56.330000,0.023683
85,1.217923,55.006000,1.271004,52.990000,0.022617
86,1.150687,58.058000,1.152684,57.730000,0.027822
87,1.160869,57.474000,1.155640,57.430000,0.025403
88,1.150825,58.176000,1.149341,58.230000,0.027265
89,1.254628,55.040000,1.287842,54.960000,0.023717
90,1.198615,56.484000,1.206948,56.940000,0.024948
91,1.370322,51.076000,1.404028,50.510000,0.022811
92,1.072627,61.398000,1.072829,61.000000,0.022972
93,1.318626,51.706000,1.373093,50.250000,0.027218
94,1.314300,51.246000,1.353235,50.850000,0.021295
95,1.134998,57.520000,1.131061,59.000000,0.024170
96,1.301149,54.580000,1.325980,54.540000,0.025679
97,1.137646,59.018000,1.132389,59.170000,0.027275
98,1.055176,60.168000,1.043140,61.190000,0.024237
99,1.062267,60.852000,1.079186,60.790000,0.026625
100,1.053754,62.258000,1.091328,60.700000,0.025362
101,1.036781,62.462000,1.040485,62.730000,0.025481
102,1.050904,62.576000,1.054562,62.940000,0.025672
103,1.013155,63.548000,1.025315,63.030000,0.025665
104,1.000409,64.070000,0.987554,64.950000,0.028575
105,0.976575,64.662000,0.983410,64.670000,0.025040
106,0.982428,64.338000,1.007099,63.730000,0.023002
107,0.950512,65.766000,0.959595,65.540000,0.027756
108,0.950552,65.588000,0.949331,66.170000,0.024213
109,0.963814,65.178000,0.970500,64.750000,0.024630
110,0.982136,64.136000,1.002636,63.420000,0.025890
111,1.118563,59.286000,1.132770,59.060000,0.027637
112,1.006913,63.918000,1.018201,63.280000,0.026821
