iter,train_loss,train_acc,test_loss,test_acc,time
1,2.315502,10.000000,2.315502,10.000000,0.000000
2,2.322287,10.000000,2.322288,10.000000,0.022292
3,2.314477,9.886000,2.314612,9.760000,0.020748
4,2.422131,12.562000,2.405087,12.530000,0.021051
5,2.202940,17.754000,2.241626,18.220000,0.021711
6,2.161537,18.938000,2.165717,19.430000,0.023878
7,2.088996,21.280000,2.104465,21.820000,0.022777
8,2.227034,18.740000,2.252460,19.180000,0.021898
9,2.081731,20.948000,2.057456,21.380000,0.026852
10,1.946101,25.124000,1.906235,26.550000,0.022280
11,1.934088,24.064000,1.894612,25.240000,0.022421
12,1.967257,23.882000,1.931578,25.270000,0.025877
13,1.932137,25.082000,1.897959,26.760000,0.020539
14,1.893164,27.270000,1.852176,29.590000,0.019601
15,1.851065,29.026000,1.817421,30.790000,0.022559
16,1.840388,29.840000,1.844896,30.120000,0.020854
17,1.812418,30.574000,1.797816,31.990000,0.021580
18,1.793441,31.448000,1.775449,33.230000,0.021789
19,1.788031,31.234000,1.775282,31.390000,0.022691
20,1.788674,31.742000,1.791227,31.570000,0.019951
21,1.749965,33.716000,1.717635,34.780000,0.020226
22,1.741704,34.142000,1.698597,36.130000,0.020859
23,1.722260,35.144000,1.703336,35.810000,0.023284
24,1.715916,35.274000,1.721157,35.450000,0.023122
25,1.708347,35.866000,1.711335,35.810000,0.025152
26,1.745155,35.424000,1.767907,35.850000,0.022173
27,2.072165,28.036000,2.142219,28.090000,0.020641
28,1.899774,30.628000,1.948685,31.060000,0.023573
29,1.784366,32.898000,1.813678,33.170000,0.024212
30,1.705954,35.080000,1.732981,34.340000,0.023629
31,1.724765,35.028000,1.717013,34.860000,0.020805
32,1.689946,36.242000,1.692166,35.870000,0.019799
33,1.754294,33.228000,1.823018,32.720000,0.020829
34,1.755233,33.292000,1.830876,32.360000,0.021199
35,1.881681,34.020000,1.998563,33.550000,0.022160
36,1.745868,36.916000,1.804715,36.940000,0.022936
37,1.654339,38.738000,1.651174,39.610000,0.023882
38,1.602817,40.268000,1.562940,41.680000,0.026101
39,1.582914,41.166000,1.525548,42.950000,0.020144
40,1.526046,43.730000,1.499542,43.930000,0.023381
41,1.529674,43.162000,1.521385,43.160000,0.022825
42,1.546984,42.398000,1.559481,42.440000,0.025353
43,1.536142,42.862000,1.550672,42.800000,0.022238
44,1.508553,44.236000,1.505642,44.520000,0.023648
45,1.502725,44.272000,1.500951,44.540000,0.021891
46,1.496928,44.538000,1.493453,44.580000,0.022205
47,1.482810,44.696000,1.468511,44.880000,0.020200
48,1.467889,45.630000,1.467898,45.320000,0.022642
49,1.451937,46.404000,1.434787,46.420000,0.022003
50,1.443139,46.722000,1.413837,47.350000,0.021312
51,1.435430,47.230000,1.403848,48.490000,0.019990
52,1.432812,47.410000,1.419154,47.930000,0.021909
53,1.430341,47.186000,1.416651,47.790000,0.023393
54,1.443627,46.668000,1.432162,46.970000,0.024966
55,1.426783,47.484000,1.420128,47.530000,0.024102
56,1.432992,47.500000,1.428698,47.880000,0.021042
57,1.411059,48.426000,1.394573,49.280000,0.022123
58,1.427969,47.658000,1.419533,48.110000,0.022908
59,1.403885,48.858000,1.390419,49.670000,0.022827
60,1.418417,48.072000,1.414386,48.370000,0.023879
61,1.389880,49.188000,1.380605,49.370000,0.022671
62,1.370823,49.812000,1.357131,49.740000,0.023918
63,1.357548,50.222000,1.331739,51.150000,0.020987
64,1.335998,51.052000,1.319344,51.550000,0.023116
65,1.337522,51.038000,1.314124,51.300000,0.021234
66,1.340080,50.594000,1.310987,51.500000,0.021930
67,1.330841,50.934000,1.312530,51.760000,0.023529
68,1.330140,51.530000,1.315077,51.990000,0.022733
69,1.344310,51.156000,1.330069,51.670000,0.022683
70,1.342243,50.900000,1.327501,51.140000,0.021297
71,1.335941,51.510000,1.322281,51.560000,0.021700
72,1.327529,51.612000,1.312252,51.970000,0.022572
73,1.301978,52.404000,1.286437,52.490000,0.021389
74,1.310322,51.916000,1.305847,51.500000,0.021601
75,1.303083,52.198000,1.287614,52.620000,0.022556
76,1.296751,52.708000,1.286113,52.910000,0.021580
77,1.292022,52.880000,1.267896,53.660000,0.023142
78,1.279755,53.374000,1.263779,53.780000,0.022526
79,1.281489,53.270000,1.257607,53.950000,0.021497
80,1.293580,52.960000,1.281124,53.700000,0.022638
81,1.295035,52.844000,1.293283,53.430000,0.025091
82,1.338945,51.484000,1.356293,51.460000,0.023232
83,1.305946,52.636000,1.321663,52.240000,0.023331
84,1.405921,49.370000,1.423885,48.750000,0.020227
85,1.412607,49.372000,1.425963,49.010000,0.022269
86,4.473784,15.308000,4.488247,16.350000,0.023299
87,1.842542,38.232000,1.846203,38.910000,0.019161
88,1.702760,40.332000,1.738507,40.840000,0.023297
89,1.490091,45.978000,1.503696,46.170000,0.020317
90,1.373870,49.848000,1.371721,50.130000,0.023455
91,1.306335,52.710000,1.308828,52.910000,0.022468
92,1.402461,49.962000,1.426002,49.750000,0.023552
93,1.373382,50.698000,1.406272,50.290000,0.021194
94,1.284485,53.334000,1.290701,53.590000,0.022899
95,1.253029,54.636000,1.254593,54.760000,0.020427
