iter,train_loss,train_acc,test_loss,test_acc,time
1,2.320136,10.000000,2.320136,10.000000,0.000000
2,2.339539,10.000000,2.339070,10.000000,0.003323
3,2.148427,17.136000,2.141001,18.930000,0.003257
4,1.985262,24.898000,1.967186,25.510000,0.003228
5,1.917688,25.466000,1.892942,26.530000,0.003647
6,1.896535,27.526000,1.869662,29.010000,0.003214
7,1.856868,27.464000,1.825564,28.910000,0.003665
8,1.833414,29.276000,1.796700,30.860000,0.003005
9,1.796938,31.226000,1.756892,33.200000,0.003174
10,1.766389,33.148000,1.740761,33.940000,0.003641
11,1.759901,33.416000,1.733905,35.410000,0.003713
12,1.713164,35.258000,1.672264,37.560000,0.003681
13,1.706689,35.978000,1.671360,37.810000,0.003175
14,1.648451,38.650000,1.632089,39.390000,0.003231
15,1.605288,40.278000,1.583420,40.630000,0.003027
16,1.594856,40.754000,1.566469,41.630000,0.003006
17,1.572730,41.854000,1.538343,42.920000,0.003618
18,1.546269,42.942000,1.517180,43.960000,0.003172
19,1.539209,43.130000,1.519637,44.100000,0.003075
20,1.503075,45.140000,1.469363,45.970000,0.004079
21,1.535872,43.844000,1.511465,45.010000,0.003201
22,1.478915,46.276000,1.441454,46.980000,0.003118
23,1.437209,47.176000,1.406955,47.870000,0.003558
24,1.439636,47.230000,1.406033,48.650000,0.003071
25,1.417584,48.318000,1.379707,49.470000,0.004472
26,1.400186,49.002000,1.374750,49.920000,0.003542
27,1.373676,50.050000,1.343276,50.970000,0.003590
28,1.389199,49.632000,1.352616,50.820000,0.003844
29,1.356125,50.672000,1.318340,51.810000,0.004744
30,1.324979,52.022000,1.296219,52.710000,0.003661
31,1.317462,51.664000,1.291591,52.780000,0.003950
32,1.287782,53.518000,1.256116,53.970000,0.004269
33,1.279895,53.110000,1.260106,53.720000,0.004113
34,1.292182,53.086000,1.255294,54.370000,0.003134
35,1.247767,54.684000,1.218731,54.780000,0.003699
36,1.219206,55.340000,1.199048,55.970000,0.003691
37,1.202103,56.040000,1.184982,56.680000,0.004152
38,1.188300,57.136000,1.173404,57.150000,0.005366
39,1.171607,57.472000,1.146638,57.820000,0.004062
40,1.154126,58.038000,1.139716,58.870000,0.004040
41,1.135167,59.372000,1.109221,60.050000,0.003055
