iter,train_loss,train_acc,test_loss,test_acc,time
1,4.679153,1.000000,4.679153,1.000000,0.000000
2,4.695512,1.000000,4.695518,1.000000,0.016886
3,4.689588,1.000000,4.689289,1.000000,0.018788
4,4.531779,2.338000,4.524457,2.420000,0.020031
5,4.385832,3.010000,4.390091,3.070000,0.019774
6,4.302841,3.342000,4.297286,3.490000,0.018887
7,4.218575,4.448000,4.212535,4.770000,0.020323
8,4.212549,4.498000,4.203687,4.880000,0.018772
9,4.365613,3.560000,4.364557,3.670000,0.017945
10,4.194327,4.940000,4.181391,5.180000,0.019079
11,4.126226,5.790000,4.113335,5.850000,0.021728
12,4.121750,5.408000,4.110585,5.850000,0.018475
13,4.051561,6.156000,4.039891,6.480000,0.020558
14,4.003760,6.792000,3.992522,7.290000,0.021424
15,3.974612,7.338000,3.963758,7.600000,0.020231
16,3.948057,7.726000,3.934606,7.840000,0.021724
17,3.927167,8.160000,3.909922,8.420000,0.019604
18,3.888937,8.560000,3.874810,9.090000,0.019444
19,3.880876,8.892000,3.879598,9.300000,0.019099
20,3.851234,9.540000,3.843692,9.780000,0.018426
21,3.842560,9.710000,3.836023,9.690000,0.019617
22,3.844491,9.882000,3.841783,10.300000,0.018521
23,3.806950,10.174000,3.795268,10.550000,0.017731
24,3.775305,10.658000,3.766445,10.900000,0.020151
25,3.782091,10.748000,3.771125,10.730000,0.021564
26,3.752556,11.188000,3.735766,11.570000,0.017420
27,3.733886,11.622000,3.712772,11.990000,0.021034
28,3.709819,11.886000,3.692705,12.020000,0.020782
29,3.684562,12.086000,3.658718,12.310000,0.018231
30,3.679672,12.300000,3.667938,12.780000,0.018894
31,3.679977,12.450000,3.660718,13.160000,0.020457
32,3.684543,12.020000,3.667283,12.530000,0.021329
33,3.653682,12.366000,3.636522,13.280000,0.019481
34,3.637408,12.826000,3.624165,13.290000,0.017696
35,3.607818,13.326000,3.585342,13.540000,0.019171
36,3.585726,13.928000,3.571017,14.420000,0.020496
37,3.678198,12.782000,3.674625,12.890000,0.021640
38,3.649580,12.994000,3.655138,13.520000,0.017202
39,3.555278,14.558000,3.542253,15.100000,0.020312
40,3.547605,14.826000,3.538454,15.450000,0.019041
41,3.555287,14.488000,3.545435,14.800000,0.018937
42,3.505652,15.340000,3.484792,15.680000,0.016869
43,3.530645,15.082000,3.513050,15.370000,0.016970
44,3.540412,14.732000,3.519727,15.330000,0.018758
45,3.500272,15.574000,3.487680,15.850000,0.019403
46,3.481980,15.698000,3.473180,15.920000,0.018809
47,3.462627,16.176000,3.442776,16.990000,0.018045
48,3.456806,16.244000,3.434675,17.280000,0.020892
49,3.447064,16.554000,3.436025,16.950000,0.017626
50,3.422257,16.944000,3.406618,17.740000,0.020748
51,3.428740,16.784000,3.422727,17.230000,0.018245
52,3.424931,16.958000,3.416590,17.220000,0.020596
53,3.389238,17.580000,3.369707,18.160000,0.023060
54,3.382083,17.598000,3.375061,18.170000,0.017748
55,3.370530,17.774000,3.353830,18.700000,0.017809
56,3.387639,17.636000,3.378740,17.710000,0.023943
