iter,train_loss,train_acc,test_loss,test_acc,time
1,2.304872,10.000000,2.304872,10.000000,0.000000
2,2.405730,10.000000,2.405730,10.000000,0.006042
3,2.346921,10.000000,2.346874,10.000000,0.011831
4,2.213726,17.300000,2.206403,17.800000,0.017072
5,2.166573,17.442000,2.159425,18.490000,0.022683
6,2.112064,18.552000,2.091418,19.850000,0.027944
7,2.015645,21.046000,1.995844,21.900000,0.033116
8,2.014287,20.878000,1.979551,21.400000,0.039280
9,2.007106,20.932000,2.003270,21.470000,0.044778
10,1.925088,23.886000,1.905158,24.280000,0.050422
11,1.968636,21.044000,1.951715,22.020000,0.055809
12,1.894288,25.488000,1.859939,26.690000,0.061542
13,1.878933,26.950000,1.839565,27.870000,0.068977
14,1.870691,28.694000,1.826212,30.390000,0.074544
15,1.864631,28.226000,1.847745,29.160000,0.080777
16,1.868283,27.856000,1.820217,29.620000,0.087253
17,1.777179,31.508000,1.723889,33.330000,0.093013
18,1.823052,28.634000,1.812381,28.450000,0.098659
19,1.780745,30.426000,1.747941,31.470000,0.104395
20,1.745096,32.322000,1.730297,32.320000,0.111316
21,1.726816,33.782000,1.708809,35.070000,0.118852
22,1.709614,35.302000,1.725367,35.210000,0.124499
23,1.715883,34.570000,1.707579,34.830000,0.130982
24,1.652379,36.228000,1.663618,35.950000,0.139472
25,1.618638,39.140000,1.616098,39.970000,0.146525
26,1.622161,37.792000,1.620469,37.620000,0.153233
27,1.646663,38.038000,1.643282,38.050000,0.160123
28,1.550737,42.158000,1.516825,43.490000,0.167022
29,1.533988,41.804000,1.527586,42.190000,0.173511
30,1.581376,38.802000,1.570133,38.880000,0.182511
31,1.527561,42.024000,1.533410,41.630000,0.188530
32,1.498251,44.214000,1.487818,43.950000,0.197210
33,1.520089,43.040000,1.507873,43.350000,0.204010
34,1.456163,44.560000,1.434602,45.670000,0.211115
35,1.504039,42.794000,1.496020,43.300000,0.218001
36,1.470927,44.548000,1.421852,46.050000,0.226109
37,1.412138,46.940000,1.402476,46.670000,0.232933
38,1.431737,46.728000,1.410040,47.590000,0.239567
39,1.450743,45.308000,1.402228,47.450000,0.245980
40,1.397669,48.032000,1.373553,48.670000,0.254313
41,1.445232,46.366000,1.425373,46.290000,0.260701
42,1.456151,44.538000,1.448194,44.760000,0.267422
43,1.382512,46.966000,1.352699,48.520000,0.275052
44,1.417322,46.302000,1.411337,46.530000,0.281043
45,1.367153,47.986000,1.354542,48.630000,0.294323
46,1.327672,50.592000,1.294616,51.580000,0.300167
47,1.384585,47.782000,1.386940,47.550000,0.308259
48,1.313020,51.624000,1.309291,52.380000,0.316052
49,1.295219,51.898000,1.288816,51.680000,0.334589
50,1.340272,49.920000,1.316001,51.340000,0.383844
51,1.262995,52.762000,1.252289,52.510000,0.391122
52,1.229030,54.606000,1.226285,54.420000,0.398058
53,1.221081,54.642000,1.214356,54.590000,0.405452
54,1.349654,47.262000,1.377597,46.490000,0.412317
55,1.202050,55.836000,1.191725,56.210000,0.420419
56,1.185678,55.372000,1.179452,55.920000,0.427563
57,1.202458,55.360000,1.185544,55.840000,0.433812
58,1.202393,56.184000,1.179307,56.160000,0.441717
59,1.191662,56.152000,1.192310,56.600000,0.450431
60,1.132452,59.052000,1.138184,59.010000,0.458299
61,1.166055,56.842000,1.174681,56.840000,0.466655
62,1.142424,57.118000,1.139928,57.610000,0.473538
63,1.152318,57.728000,1.157356,58.080000,0.480371
64,1.107249,58.812000,1.111402,58.600000,0.487802
65,1.089389,60.054000,1.076229,61.070000,0.493960
66,1.089894,59.944000,1.089175,60.460000,0.500438
67,1.160081,56.804000,1.136602,57.530000,0.509970
68,1.097285,61.508000,1.114640,61.200000,0.516432
69,1.052820,61.344000,1.091963,59.980000,0.523391
