iter,train_loss,train_acc,test_loss,test_acc,time
1,2.316036,10.000000,2.316036,10.000000,0.000000
2,2.323107,10.000000,2.322358,10.000000,0.006028
3,2.199243,15.496000,2.199618,16.060000,0.011513
4,1.953654,23.420000,1.940000,24.200000,0.016569
5,1.933746,24.876000,1.918214,25.530000,0.021708
6,1.991758,24.316000,1.965220,26.050000,0.026811
7,1.897977,26.598000,1.861623,29.170000,0.032065
8,1.833918,30.664000,1.815834,33.030000,0.037174
9,1.775909,33.574000,1.748344,35.570000,0.042447
10,1.711853,36.028000,1.650539,38.190000,0.047541
11,1.668329,37.652000,1.655513,38.820000,0.053634
12,1.631490,39.326000,1.627634,40.490000,0.058755
13,1.615217,40.650000,1.600608,41.210000,0.155718
14,1.610267,40.398000,1.570514,42.340000,0.160958
15,1.562167,42.326000,1.569916,42.600000,0.165993
16,1.531983,43.520000,1.515758,43.950000,0.171409
17,1.527281,44.296000,1.466534,45.850000,0.176695
18,1.464977,45.898000,1.433778,47.220000,0.182417
19,1.431479,47.424000,1.411378,47.790000,0.220004
20,1.408668,48.184000,1.392567,49.020000,0.225398
21,1.397746,48.772000,1.389584,48.740000,0.231143
22,1.364619,50.310000,1.332618,51.010000,0.236896
23,1.394523,48.374000,1.380302,49.240000,0.243241
24,1.314711,51.564000,1.297843,52.710000,0.248985
25,1.271697,53.130000,1.258842,53.630000,0.254358
26,1.278084,53.034000,1.259978,53.800000,0.260931
27,1.253546,54.276000,1.242194,54.630000,0.270023
28,1.254069,54.704000,1.249432,54.800000,0.275919
29,1.233239,55.356000,1.221233,55.720000,0.282129
30,1.212565,56.350000,1.206327,56.710000,0.288405
31,1.273841,53.754000,1.267840,54.260000,0.294857
32,1.153635,57.788000,1.154165,58.560000,0.301496
33,1.136745,58.512000,1.133101,58.790000,0.308112
34,1.114725,59.496000,1.103563,59.660000,0.315059
35,1.187499,56.152000,1.199530,56.610000,0.321868
36,1.066963,61.768000,1.075544,61.370000,0.332541
37,1.049669,62.210000,1.053683,62.160000,0.339175
38,1.024591,63.082000,1.033962,62.760000,0.345413
39,1.018574,63.260000,1.023771,63.100000,0.352911
40,1.025760,63.160000,1.028820,63.100000,0.359624
41,0.968841,65.094000,0.977320,65.060000,0.365807
42,1.078548,62.414000,1.109234,62.130000,0.373046
43,0.958928,66.052000,0.981820,65.470000,0.379312
44,0.961013,65.936000,0.966195,65.870000,0.385425
45,0.935422,66.848000,0.968874,66.690000,0.392312
46,0.913953,67.168000,0.942337,66.380000,0.399476
47,0.942514,66.428000,0.981826,64.940000,0.406400
48,0.934176,67.000000,0.964097,66.780000,0.413243
49,0.860429,69.702000,0.890085,68.770000,0.420627
50,0.851882,69.926000,0.893414,68.400000,0.426676
51,0.828805,70.500000,0.855178,69.370000,0.434491
52,0.823240,70.254000,0.858714,69.550000,0.440380
53,0.786126,72.114000,0.804458,71.190000,0.448280
54,0.813686,71.302000,0.857341,70.050000,0.465583
55,0.916412,67.366000,0.975650,66.370000,0.492719
56,0.784296,72.192000,0.808590,71.250000,0.499678
57,0.778088,72.450000,0.813950,71.860000,0.505470
58,0.821811,71.248000,0.885677,69.780000,0.512336
59,0.750805,73.162000,0.798684,72.280000,0.519605
60,0.713152,74.786000,0.748154,73.580000,0.529411
61,0.754778,73.530000,0.780037,72.690000,0.536303
62,0.698452,75.284000,0.733287,74.100000,0.542483
63,0.699386,75.318000,0.746746,73.490000,0.550266
64,0.745574,73.772000,0.829115,71.940000,0.556672
65,0.676601,76.126000,0.721733,74.950000,0.562489
66,0.713281,75.088000,0.785269,73.170000,0.569261
67,0.681855,75.986000,0.722434,74.860000,0.575461
68,0.631493,77.728000,0.663185,77.370000,0.582248
69,0.632154,77.600000,0.690907,76.110000,0.593890
70,0.611056,78.556000,0.664191,76.880000,0.600456
71,0.606811,78.718000,0.666811,77.360000,0.608279
72,0.650086,77.354000,0.706843,75.890000,0.616203
73,0.611948,78.148000,0.678671,76.380000,0.622651
74,0.554369,80.462000,0.604964,79.670000,0.629605
75,0.576647,79.872000,0.640030,78.090000,0.636668
76,0.599804,78.932000,0.669917,76.700000,0.644364
77,0.564886,79.944000,0.626481,78.480000,0.651198
78,0.555406,80.144000,0.622568,78.290000,0.659086
79,0.521710,81.704000,0.580994,80.220000,0.665231
80,0.528067,81.272000,0.582333,80.000000,0.671588
81,0.520318,82.040000,0.572216,80.560000,0.678282
82,0.511955,82.118000,0.568900,80.290000,0.684024
83,0.531054,81.490000,0.584290,80.270000,0.698470
84,0.476418,83.286000,0.542677,81.370000,0.713064
85,0.468996,83.596000,0.542691,81.690000,0.721323
86,0.500388,82.312000,0.567253,80.400000,0.731569
87,0.485208,83.088000,0.546067,81.660000,0.737445
88,0.528994,81.724000,0.584008,80.150000,0.744467
89,0.461852,83.850000,0.530217,82.020000,0.753657
90,0.471929,83.708000,0.550192,81.680000,0.764503
91,0.458916,83.932000,0.535353,81.850000,0.771274
92,0.414812,85.744000,0.476367,83.630000,0.776959
93,0.401470,86.076000,0.469936,83.750000,0.783674
94,0.447289,84.200000,0.538298,81.790000,0.790859
95,0.464032,83.834000,0.551587,81.700000,0.800294
96,0.428601,85.056000,0.512471,82.960000,0.807546
97,0.411402,85.544000,0.491668,83.310000,0.814022
98,0.423356,84.984000,0.496870,83.320000,0.820139
99,0.420849,85.340000,0.510751,83.130000,0.833280
100,0.411290,85.828000,0.495234,83.650000,0.840332
101,0.420523,85.232000,0.496541,82.770000,0.847002
102,0.410428,85.436000,0.495208,82.860000,0.854018
103,0.410154,85.578000,0.491571,83.230000,0.860590
104,0.387811,86.578000,0.460401,84.760000,0.867895
105,0.467936,83.862000,0.568000,82.030000,0.874864
106,0.370729,86.888000,0.471374,84.040000,0.881199
107,0.360523,87.420000,0.450804,84.520000,0.888810
108,0.376361,86.850000,0.465301,84.530000,0.895580
109,0.410037,85.792000,0.493599,83.770000,0.903783
110,0.349083,87.912000,0.440865,85.450000,0.911023
111,0.344957,87.788000,0.449644,84.910000,0.929829
112,0.354668,87.684000,0.462309,85.160000,0.936607
113,0.335452,88.250000,0.427344,85.600000,0.943313
114,0.360633,87.214000,0.463303,84.040000,0.950042
115,0.366722,87.108000,0.485866,84.450000,0.958438
116,0.330465,88.466000,0.430886,85.620000,0.965637
117,0.352206,87.744000,0.444841,85.430000,0.971882
118,0.348360,87.872000,0.456121,84.900000,0.977703
119,0.337594,88.306000,0.453795,84.920000,0.984568
120,0.323219,88.558000,0.437729,85.460000,0.991392
121,0.350609,87.540000,0.460274,84.660000,1.001628
122,0.339158,88.092000,0.461570,84.580000,1.007883
123,0.387280,86.396000,0.497592,83.560000,1.015077
124,0.316375,88.920000,0.443178,85.380000,1.022692
125,0.301894,89.386000,0.417853,86.130000,1.029514
126,0.330008,88.588000,0.459435,85.170000,1.038223
127,0.300081,89.336000,0.423670,85.820000,1.045036
128,0.320575,88.826000,0.459098,85.180000,1.053613
129,0.296841,89.570000,0.399159,86.730000,1.061445
130,0.286783,89.858000,0.406759,86.580000,1.100764
131,0.272346,90.500000,0.389961,86.960000,1.107533
132,0.266029,90.800000,0.389297,86.840000,1.137660
133,0.269372,90.692000,0.405826,86.830000,1.144038
134,0.294880,89.424000,0.433334,86.180000,1.150776
135,0.285816,90.146000,0.407140,87.120000,1.158017
136,0.280877,90.094000,0.404872,87.130000,1.190678
137,0.248286,91.324000,0.406812,87.070000,1.196644
138,0.309718,88.838000,0.474913,85.010000,1.203030
139,0.245515,91.410000,0.368705,87.800000,1.208788
140,0.251274,91.198000,0.379336,87.600000,1.216327
141,0.252483,91.202000,0.396422,87.510000,1.222617
142,0.287767,89.896000,0.443076,86.380000,1.230288
143,0.246010,91.414000,0.397564,87.270000,1.237256
144,0.243442,91.508000,0.401978,87.250000,1.244581
145,0.242086,91.390000,0.390766,87.120000,1.251423
146,0.254485,91.062000,0.412980,86.980000,1.257548
147,0.243554,91.522000,0.396970,87.970000,1.267583
148,0.237625,91.580000,0.396678,87.170000,1.273924
149,0.235330,91.848000,0.389323,87.480000,1.280092
150,0.237016,91.682000,0.406165,87.080000,1.288597
151,0.318504,88.896000,0.499596,85.230000,1.295114
152,0.226436,92.096000,0.392215,87.770000,1.300843
153,0.232114,91.912000,0.391488,87.400000,1.308444
154,0.232001,91.938000,0.401555,87.730000,1.315312
155,0.204598,92.818000,0.378014,88.200000,1.322173
156,0.258473,90.616000,0.447498,86.120000,1.327919
157,0.258006,90.970000,0.449145,86.370000,1.335337
158,0.222632,92.216000,0.372172,88.050000,1.341541
159,0.210160,92.518000,0.383620,87.790000,1.354733
160,0.209161,92.656000,0.369607,88.170000,1.362999
161,0.226019,92.104000,0.411169,87.410000,1.370571
162,0.188417,93.436000,0.350780,88.940000,1.378782
163,0.189406,93.338000,0.360520,88.860000,1.387551
164,0.193476,93.246000,0.373319,88.390000,1.394221
165,0.193741,93.162000,0.393726,88.090000,1.401153
166,0.196667,93.164000,0.396197,88.110000,1.408625
167,0.192853,93.338000,0.381323,88.210000,1.415208
168,0.193739,93.086000,0.405514,87.740000,1.422444
169,0.195270,93.048000,0.383455,87.860000,1.429729
170,0.198123,92.856000,0.387258,88.140000,1.439553
171,0.205488,92.890000,0.414911,87.830000,1.454153
172,0.215593,92.430000,0.417176,87.810000,1.461427
173,0.177991,93.686000,0.377170,88.460000,1.468198
174,0.182588,93.546000,0.387975,88.170000,1.475550
175,0.173066,93.808000,0.368920,89.190000,1.481885
176,0.184033,93.518000,0.378063,88.770000,1.489055
177,0.175419,93.662000,0.371864,88.570000,1.495878
178,0.189659,93.076000,0.398874,88.070000,1.503722
179,0.166551,94.040000,0.379901,88.640000,1.556518
180,0.152573,94.692000,0.356004,89.130000,1.562861
181,0.197872,92.746000,0.398176,87.690000,1.570189
182,0.167641,93.966000,0.384322,88.770000,1.577344
183,0.158918,94.424000,0.362121,89.000000,1.584710
184,0.145216,94.836000,0.358952,88.980000,1.591527
185,0.164397,94.074000,0.372725,88.730000,1.598387
186,0.165858,94.032000,0.381504,88.690000,1.606492
187,0.158995,94.344000,0.372497,88.440000,1.612483
188,0.158308,94.364000,0.376477,88.340000,1.620403
189,0.177860,93.696000,0.421126,87.820000,1.626920
190,0.167748,94.062000,0.419547,88.290000,1.637801
191,0.154537,94.534000,0.391343,88.960000,1.651373
192,0.168809,94.024000,0.410488,88.070000,1.658321
193,0.162406,94.132000,0.390477,88.210000,1.664578
194,0.148596,94.704000,0.375331,88.700000,1.670685
195,0.130367,95.420000,0.377990,89.380000,1.677035
196,0.147232,94.832000,0.393111,89.150000,1.684360
197,0.156430,94.356000,0.419754,88.440000,1.692910
198,0.113169,96.058000,0.341424,90.020000,1.699271
199,0.197838,93.038000,0.463983,87.260000,1.709177
200,0.132836,95.242000,0.375485,89.120000,1.715436
201,0.127351,95.496000,0.361712,89.640000,1.724277
202,0.128180,95.392000,0.375144,89.250000,1.731814
203,0.127971,95.526000,0.368901,89.410000,1.738373
204,0.126528,95.568000,0.382950,89.160000,1.747879
205,0.117833,95.792000,0.375630,89.410000,1.757788
206,0.112051,96.018000,0.375731,89.670000,1.763927
207,0.120084,95.798000,0.378905,89.550000,1.770323
208,0.135888,95.254000,0.401502,88.940000,1.776909
209,0.103610,96.426000,0.346658,89.980000,1.858959
210,0.142005,94.924000,0.413842,88.660000,1.866705
211,0.125939,95.512000,0.382080,89.380000,1.873723
212,0.150643,94.534000,0.433920,87.860000,1.885476
213,0.103847,96.280000,0.374385,89.850000,1.893199
214,0.104349,96.348000,0.360390,90.130000,1.899988
215,0.111013,96.082000,0.361813,89.730000,1.906842
216,0.121293,95.670000,0.390435,89.410000,1.915031
217,0.108955,96.028000,0.375547,89.680000,1.920705
218,0.106415,96.200000,0.381246,89.500000,1.926791
219,0.108396,96.156000,0.412753,89.010000,1.932672
220,0.096803,96.486000,0.373022,89.990000,1.940504
221,0.111478,95.904000,0.392337,89.640000,1.975798
222,0.090001,96.912000,0.382667,90.170000,1.982931
223,0.108013,96.244000,0.405290,89.540000,1.991305
224,0.099939,96.468000,0.366201,90.000000,1.997369
225,0.088138,96.908000,0.373257,89.900000,2.006064
226,0.101183,96.282000,0.392650,89.730000,2.013741
227,0.106896,96.198000,0.406992,89.320000,2.021710
228,0.091603,96.804000,0.368889,90.050000,2.029123
229,0.135252,95.088000,0.427112,88.710000,2.036661
230,0.091631,96.726000,0.364936,89.830000,2.044395
231,0.089784,96.872000,0.390097,89.570000,2.052156
232,0.100451,96.438000,0.394480,89.560000,2.059926
233,0.070279,97.630000,0.354179,90.470000,2.065770
234,0.086067,96.940000,0.391975,89.810000,2.072457
235,0.098176,96.472000,0.404460,89.570000,2.079127
236,0.096744,96.526000,0.410425,89.350000,2.085864
237,0.073990,97.426000,0.382111,90.180000,2.116984
238,0.123259,95.518000,0.424955,88.440000,2.123712
239,0.107946,96.100000,0.421454,89.260000,2.131337
240,0.093397,96.628000,0.373574,89.890000,2.138193
241,0.110788,96.038000,0.445287,88.770000,2.146060
242,0.077533,97.258000,0.371538,90.220000,2.152059
243,0.094293,96.546000,0.412152,89.420000,2.158790
244,0.070793,97.482000,0.375866,90.180000,2.166108
245,0.085781,96.918000,0.391447,89.790000,2.172718
246,0.099727,96.390000,0.451003,89.060000,2.181838
247,0.089065,96.670000,0.394358,90.110000,2.188653
248,0.072814,97.400000,0.368466,90.420000,2.195887
249,0.079147,97.140000,0.418260,89.650000,2.201880
250,0.079068,97.266000,0.400812,89.770000,2.208092
251,0.061703,97.948000,0.359507,90.880000,2.215051
252,0.064780,97.758000,0.404609,89.850000,2.221325
253,0.097199,96.492000,0.459644,88.950000,2.229004
254,0.075357,97.356000,0.408893,90.030000,2.236856
255,0.076408,97.232000,0.426854,89.780000,2.243138
256,0.074536,97.380000,0.424494,89.750000,2.249004
257,0.056585,98.032000,0.364996,90.600000,2.258739
258,0.082469,97.036000,0.400757,89.860000,2.268633
259,0.072790,97.412000,0.406761,90.120000,2.276346
260,0.061418,97.800000,0.389513,90.370000,2.282923
261,0.063524,97.764000,0.397889,90.520000,2.289667
262,0.059316,97.906000,0.391312,90.390000,2.295819
263,0.052782,98.204000,0.367515,90.610000,2.302956
264,0.057043,98.036000,0.376648,90.590000,2.309932
265,0.059239,97.916000,0.413758,90.180000,2.326607
266,0.057605,97.942000,0.416321,90.550000,2.333261
267,0.080138,97.034000,0.460880,89.270000,2.341658
268,0.052994,98.166000,0.382455,90.620000,2.347579
269,0.060564,97.844000,0.393954,90.230000,2.354306
270,0.052518,98.166000,0.393514,90.480000,2.361767
271,0.053039,98.214000,0.400835,90.660000,2.367987
272,0.049677,98.276000,0.385750,90.720000,2.374927
273,0.054671,98.040000,0.402619,90.220000,2.382328
274,0.057698,97.882000,0.408760,90.100000,2.391056
275,0.046693,98.390000,0.386154,90.640000,2.398234
276,0.045520,98.436000,0.399314,90.540000,2.405174
277,0.076397,97.196000,0.460393,89.500000,2.411840
278,0.065634,97.562000,0.456058,89.430000,2.418472
279,0.054496,98.076000,0.411166,90.160000,2.425538
280,0.059203,97.840000,0.436332,90.300000,2.431751
281,0.041965,98.528000,0.391307,90.650000,2.438728
282,0.054309,98.116000,0.400487,90.330000,2.445800
283,0.049962,98.256000,0.398402,90.420000,2.453540
