iter,train_loss,train_acc,test_loss,test_acc,time
1,2.306854,10.000000,2.306854,10.000000,0.000000
2,2.368699,10.000000,2.368699,10.000000,14.149518
3,2.385684,10.000000,2.385683,10.000000,14.524980
4,2.358953,10.000000,2.358947,10.000000,14.558849
5,2.409903,10.000000,2.409901,10.000000,14.492495
6,2.376302,10.000000,2.376013,10.000000,13.690121
7,2.414699,10.000000,2.414514,10.000000,14.968780
8,2.426069,10.000000,2.426004,10.000000,17.897841
9,2.350219,10.000000,2.350205,10.000000,14.666188
10,2.360269,10.002000,2.359942,10.000000,11.108370
11,2.362960,10.000000,2.362927,10.000000,13.741990
12,2.354550,10.000000,2.354415,10.000000,15.124845
13,2.403150,10.038000,2.402223,10.100000,15.107715
14,2.336396,10.002000,2.336063,10.000000,14.774536
15,2.360926,10.286000,2.359444,10.470000,13.909422
16,2.344351,10.336000,2.342174,10.540000,13.239912
17,2.376622,10.230000,2.374838,10.360000,15.674294
18,2.324040,10.136000,2.322090,10.200000,13.244330
19,2.396577,11.460000,2.393210,11.790000,13.483528
20,2.377978,10.162000,2.375965,10.290000,13.099121
21,2.320223,10.060000,2.318402,10.110000,13.004658
22,2.343912,10.446000,2.340961,10.710000,14.565670
23,2.341777,10.002000,2.340356,10.000000,15.050571
24,2.340090,11.470000,2.336037,12.530000,12.424087
25,2.310836,10.250000,2.307520,10.450000,13.585086
26,2.305331,10.568000,2.300662,10.930000,13.705547
27,2.327757,10.338000,2.324405,10.530000,14.960690
28,2.325246,10.186000,2.321598,10.330000,13.178548
29,2.312978,10.730000,2.307599,11.070000,15.555126
30,2.266951,15.232000,2.258013,15.550000,15.253528
31,2.273977,11.648000,2.265700,12.470000,14.653374
32,2.262874,15.056000,2.254887,15.700000,13.564421
33,2.270547,11.740000,2.263084,12.120000,15.556080
34,2.286217,11.268000,2.279679,11.710000,13.342886
35,2.251946,12.298000,2.239302,12.710000,14.065636
36,2.238011,12.632000,2.225765,13.220000,14.586457
37,2.299016,10.398000,2.291258,10.610000,17.801968
38,2.282787,11.702000,2.271753,12.140000,15.979364
39,2.273367,11.862000,2.260240,12.330000,16.779564
40,2.230289,12.464000,2.216843,13.240000,15.490440
41,2.243552,13.362000,2.228698,14.520000,13.618135
42,2.201764,15.270000,2.188600,15.810000,14.081427
43,2.199866,13.560000,2.180954,14.230000,14.989714
44,2.266022,11.992000,2.248451,12.550000,12.835595
45,2.251637,12.446000,2.237419,13.170000,12.808675
46,2.184693,14.280000,2.166781,14.880000,13.482237
47,2.141385,17.746000,2.122330,18.180000,13.169672
48,2.122771,17.236000,2.098236,18.090000,13.011799
49,2.174457,14.780000,2.156708,15.710000,12.892230
50,2.158982,16.774000,2.142971,17.400000,14.384150
51,2.228628,12.974000,2.207941,13.450000,14.741194
52,2.251186,11.960000,2.237644,12.510000,13.706189
53,2.232875,13.662000,2.209860,14.030000,13.465274
54,2.117773,16.762000,2.092904,17.870000,13.308195
55,2.202367,13.630000,2.182392,14.070000,13.533463
56,2.238585,13.744000,2.212137,14.280000,15.808312
57,2.184563,13.588000,2.161896,14.230000,14.261019
58,2.270083,12.566000,2.247495,13.460000,16.133437
59,2.235112,13.922000,2.204925,14.990000,13.949188
60,2.137892,16.530000,2.111897,17.640000,15.018397
61,2.075978,18.842000,2.048368,19.460000,14.364673
62,2.046633,19.050000,2.023324,19.640000,13.914657
63,2.041988,19.802000,2.016940,20.880000,14.646735
64,2.100046,17.082000,2.072665,17.790000,13.953684
65,2.145658,15.866000,2.116396,16.990000,16.963722
66,2.116587,19.524000,2.082413,20.980000,14.690000
67,2.102331,17.388000,2.073658,18.550000,15.210659
68,2.056482,19.954000,2.030562,20.940000,15.323929
69,2.093784,18.838000,2.066711,19.890000,13.755084
70,2.190522,16.108000,2.154375,17.680000,13.829894
71,2.129965,17.756000,2.099488,18.730000,12.878202
72,2.059477,19.390000,2.031494,20.320000,13.837344
73,2.108593,20.210000,2.077210,22.040000,13.929730
74,2.040318,19.710000,2.014312,20.180000,15.036566
75,2.052216,20.606000,2.026578,21.250000,13.911328
76,2.102537,18.708000,2.073312,19.800000,13.646566
77,2.019398,21.522000,1.995058,22.260000,13.833538
78,1.989844,23.122000,1.959171,25.040000,14.513176
79,2.086801,18.806000,2.051816,20.840000,13.328323
80,2.068829,19.552000,2.040349,21.360000,14.723947
81,2.045218,20.640000,2.014194,22.630000,13.621926
82,2.060780,20.306000,2.026720,22.100000,12.810168
83,2.161815,16.138000,2.120382,18.200000,14.356335
84,2.074491,17.722000,2.033405,19.410000,13.787063
85,1.979064,23.546000,1.948502,24.820000,13.698130
86,1.964641,22.358000,1.943507,22.710000,13.198550
87,1.970958,23.732000,1.938823,25.250000,13.479184
88,2.086630,18.428000,2.046309,20.150000,14.374471
89,1.994772,21.388000,1.961316,22.500000,15.640897
90,1.999844,21.302000,1.971547,22.030000,13.535311
91,2.055382,19.782000,2.019418,21.010000,13.285594
92,1.957718,23.210000,1.923040,24.610000,15.660049
93,1.898225,26.368000,1.874454,27.830000,15.240375
94,1.953936,23.386000,1.923750,25.240000,15.317706
95,2.018260,21.282000,1.978551,23.220000,13.972821
96,1.977141,24.498000,1.936355,26.860000,13.834942
