iter,train_loss,train_acc,test_loss,test_acc,time
1,2.310193,10.000000,2.310194,10.000000,0.000000
2,2.316217,10.000000,2.316218,10.000000,14.033170
3,2.345520,9.950000,2.345350,9.960000,14.685758
4,2.351582,9.916000,2.351384,9.890000,14.176037
5,2.331855,10.098000,2.331407,9.960000,15.471968
6,2.332641,10.302000,2.332634,10.360000,13.850434
7,2.361196,9.704000,2.361210,9.660000,13.853900
8,2.363674,9.684000,2.363153,9.660000,13.784425
9,2.357962,9.698000,2.357208,9.700000,12.997082
10,2.371090,9.778000,2.369081,9.830000,14.187443
11,2.359938,11.840000,2.357715,11.750000,13.482881
12,2.381762,9.840000,2.379011,9.790000,13.914579
13,2.398300,9.952000,2.393282,9.790000,15.491949
14,2.380517,10.772000,2.373573,10.690000,13.506495
15,2.404955,10.010000,2.396880,10.190000,13.249341
16,2.387760,10.448000,2.374031,10.720000,14.058971
17,2.345567,11.368000,2.332277,11.380000,13.696398
18,2.424654,10.210000,2.408255,10.370000,14.065087
19,2.386283,10.588000,2.363449,10.830000,12.994294
20,2.321646,13.470000,2.296095,14.730000,15.850371
21,2.359223,11.784000,2.329188,12.760000,13.834948
22,2.312393,13.626000,2.279936,15.140000,13.968429
23,2.276669,14.546000,2.239993,16.390000,14.307303
24,2.283493,14.944000,2.238642,16.940000,14.515852
25,2.314463,13.864000,2.277063,15.690000,13.992706
26,2.213356,17.296000,2.173040,19.560000,14.663320
27,2.336075,13.898000,2.286546,15.950000,17.924785
28,2.221262,16.480000,2.180301,18.610000,14.573306
29,2.296178,14.530000,2.245790,16.680000,16.415329
30,2.184636,18.070000,2.136037,20.340000,14.963081
31,2.188425,18.646000,2.139239,21.040000,15.001101
32,2.217745,16.456000,2.170217,18.750000,15.053972
33,2.142911,18.874000,2.098218,20.830000,13.739188
34,2.068099,22.652000,2.025780,24.400000,14.116620
35,2.052202,21.938000,2.014944,22.890000,13.546273
36,2.056355,21.888000,2.017553,23.330000,14.821891
37,2.070124,22.792000,2.025185,24.410000,13.020817
38,1.999861,24.808000,1.967791,26.230000,13.016083
39,1.997354,25.132000,1.963168,26.400000,14.927507
40,1.984935,26.632000,1.945104,27.880000,12.719361
41,2.004961,25.128000,1.968653,26.050000,13.157671
42,2.004059,25.060000,1.964585,26.720000,13.222418
43,1.999803,24.634000,1.963590,25.760000,14.782747
44,1.926990,27.090000,1.903398,28.490000,13.671632
45,1.957637,26.700000,1.924041,28.080000,14.784494
46,1.910125,28.178000,1.888779,29.160000,13.732885
47,1.899968,28.380000,1.874168,29.590000,15.616084
48,1.914240,27.764000,1.885107,28.740000,13.619170
49,1.924706,26.154000,1.909064,27.280000,13.504159
50,1.926019,26.998000,1.895863,28.270000,14.544368
51,1.929325,27.944000,1.889412,30.060000,14.797628
52,1.911510,29.070000,1.878354,30.710000,15.190062
53,1.917300,27.218000,1.906715,28.120000,14.426358
54,1.869712,28.730000,1.856673,29.650000,15.846945
55,1.872094,28.926000,1.852516,29.930000,13.494771
56,1.872881,28.526000,1.867724,29.210000,13.221519
57,1.845541,30.868000,1.823254,32.050000,14.566011
58,1.831910,32.838000,1.804590,34.010000,13.668302
59,1.819962,31.686000,1.815044,32.500000,13.570685
60,1.834505,31.522000,1.820516,32.200000,14.188450
61,1.816487,32.494000,1.785109,33.780000,14.043096
62,1.814083,33.466000,1.788472,34.330000,14.597427
63,1.809000,33.378000,1.782547,34.420000,13.516223
64,1.820493,31.710000,1.803988,32.800000,14.896375
65,1.814556,31.752000,1.802716,32.400000,14.473334
66,1.788527,33.010000,1.778761,33.310000,14.206028
67,1.805638,32.460000,1.791354,33.600000,14.284089
68,1.791807,33.106000,1.782914,34.000000,14.227540
69,1.794546,33.662000,1.779451,34.630000,14.323791
70,1.778726,34.548000,1.750018,35.660000,13.961765
71,1.757306,35.006000,1.732552,36.260000,13.932816
72,1.787609,34.046000,1.755175,35.780000,13.213980
73,1.765544,34.820000,1.751143,35.520000,14.708453
74,1.750926,35.314000,1.727285,36.490000,14.751085
75,1.756522,34.682000,1.749611,34.880000,13.981143
76,1.753132,34.366000,1.742930,34.850000,13.677162
77,1.730388,35.848000,1.726917,36.000000,14.159974
78,1.734888,35.974000,1.710750,36.900000,14.504429
79,1.737601,35.662000,1.723039,35.890000,12.991205
80,1.725069,36.138000,1.712379,37.020000,13.542238
81,1.736448,35.478000,1.727962,36.010000,14.943561
82,1.733546,36.496000,1.705318,37.590000,13.943311
83,1.754651,35.434000,1.731713,36.140000,13.200722
84,1.720148,36.212000,1.711241,36.710000,13.489478
85,1.721138,37.372000,1.671222,39.080000,14.733268
86,1.697328,37.724000,1.680942,38.320000,13.882461
87,1.706309,37.266000,1.690015,37.750000,13.551781
88,1.686993,37.944000,1.659157,38.920000,13.187808
89,1.716872,37.096000,1.686251,38.150000,13.737398
90,1.697921,37.380000,1.674552,38.210000,14.692687
91,1.702922,37.244000,1.697524,37.500000,14.341514
92,1.708982,36.934000,1.694753,37.510000,13.481534
93,1.699625,36.606000,1.677328,37.700000,14.309360
94,1.712761,36.798000,1.706593,37.060000,13.430887
95,1.711283,36.972000,1.703472,37.230000,14.703502
96,1.682213,38.280000,1.660775,39.210000,14.004851
97,1.712498,37.152000,1.687119,37.940000,13.325991
98,1.663213,38.902000,1.653844,39.440000,14.065244
99,1.677062,38.658000,1.657723,39.100000,14.026870
100,1.659398,39.244000,1.633278,40.100000,13.558950
101,1.690704,38.618000,1.657334,39.750000,13.175590
102,1.738085,35.246000,1.753897,35.070000,14.998676
103,1.652087,39.598000,1.641664,39.700000,12.952545
104,1.660180,39.534000,1.644677,39.860000,14.439468
105,1.660900,39.378000,1.651074,39.370000,14.604409
106,1.668460,38.968000,1.654810,39.280000,14.500461
107,1.660727,39.394000,1.647642,39.930000,13.504683
108,1.637296,40.126000,1.622807,40.460000,13.769447
109,1.679740,38.102000,1.679121,38.110000,15.064436
110,1.629841,40.630000,1.621253,40.860000,14.572939
111,1.665557,38.522000,1.654012,38.510000,14.284147
112,1.652509,39.294000,1.654996,39.110000,13.864093
113,1.650395,39.200000,1.640817,39.370000,13.354028
114,1.621738,41.096000,1.601841,41.700000,14.617790
115,1.620171,41.102000,1.599309,41.960000,13.241959
116,1.649066,39.750000,1.643126,40.160000,14.651709
117,1.651132,39.442000,1.639683,40.080000,15.068188
118,1.639834,39.778000,1.647755,39.940000,13.466001
119,1.599634,41.532000,1.595286,41.920000,14.075601
120,1.594200,41.898000,1.569360,43.190000,14.183380
121,1.600467,41.472000,1.589561,42.460000,13.475293
122,1.609083,41.272000,1.594672,42.070000,14.498664
123,1.632713,40.010000,1.646137,39.730000,13.793266
124,1.606431,41.006000,1.609518,41.400000,14.011929
125,1.593446,42.290000,1.568626,43.070000,14.451771
126,1.627727,40.766000,1.620471,40.830000,16.222932
127,1.608948,41.338000,1.609549,41.560000,14.138571
128,1.633976,40.008000,1.634168,39.670000,14.245819
129,1.607719,41.464000,1.600146,41.730000,14.103688
130,1.594177,41.664000,1.589412,41.870000,14.730846
131,1.574785,42.416000,1.563419,43.060000,15.344633
132,1.600106,41.054000,1.580181,42.170000,16.144961
133,1.585120,41.846000,1.572621,42.680000,13.560305
134,1.580132,42.478000,1.558996,43.220000,13.860817
135,1.570123,42.502000,1.567197,42.700000,14.304241
136,1.568329,43.148000,1.543967,44.130000,15.043707
137,1.569326,43.002000,1.570683,42.950000,13.480563
138,1.555892,43.032000,1.550216,43.300000,15.751220
139,1.582912,42.122000,1.576314,42.840000,14.114510
140,1.546409,43.936000,1.529189,44.510000,14.022214
141,1.572571,42.992000,1.571520,42.970000,14.610466
142,1.543775,43.854000,1.528021,44.230000,15.880830
143,1.550190,43.396000,1.541795,43.690000,14.405223
144,1.547663,43.680000,1.533589,44.100000,14.828516
145,1.554791,43.186000,1.552034,43.640000,14.432249
146,1.533421,44.214000,1.514267,45.120000,13.216930
147,1.550073,43.462000,1.539754,43.580000,15.574263
148,1.549785,43.614000,1.537467,43.920000,16.337276
149,1.541813,43.880000,1.532419,44.200000,14.559963
150,1.530458,44.840000,1.517823,44.780000,15.460867
151,1.564802,43.112000,1.562480,42.880000,14.355053
152,1.546665,43.558000,1.541463,43.830000,14.498080
153,1.562578,42.916000,1.548996,43.770000,13.934333
154,1.540301,44.204000,1.515510,44.970000,15.128818
155,1.495174,45.644000,1.472259,46.180000,14.820653
156,1.512837,44.998000,1.502567,45.020000,16.197883
157,1.527830,44.490000,1.525224,44.310000,17.595747
158,1.538154,43.986000,1.527847,44.560000,15.369638
159,1.514092,45.018000,1.490840,45.670000,12.929145
160,1.500201,45.542000,1.484479,45.880000,14.832281
161,1.516292,44.770000,1.512878,44.870000,15.396696
162,1.509707,45.064000,1.496441,45.260000,14.701400
163,1.512306,45.320000,1.499234,45.340000,14.122046
164,1.500376,45.424000,1.481641,45.960000,13.799985
165,1.510834,44.910000,1.496733,44.850000,13.489660
166,1.501589,45.056000,1.486981,45.380000,14.914829
167,1.505255,45.100000,1.493918,44.970000,15.123190
168,1.476170,46.122000,1.467038,46.030000,13.653094
169,1.526801,44.556000,1.522148,44.270000,14.450418
170,1.483561,45.974000,1.481031,45.750000,16.658957
171,1.480788,46.184000,1.466741,46.290000,14.470825
172,1.471357,46.640000,1.455929,46.860000,13.697806
173,1.475337,46.618000,1.449526,47.130000,15.365800
174,1.462427,47.028000,1.448350,47.120000,15.683611
175,1.514628,44.814000,1.495916,45.430000,15.636742
176,1.473962,46.600000,1.453160,47.150000,16.822932
177,1.477948,46.470000,1.468606,46.320000,14.891404
178,1.456827,47.170000,1.447018,47.040000,14.920950
179,1.471895,46.218000,1.460818,46.520000,14.939617
180,1.455026,47.142000,1.435310,47.630000,13.434239
181,1.498479,45.418000,1.473009,46.450000,15.221033
182,1.460337,47.066000,1.449554,46.910000,13.964038
183,1.449228,47.358000,1.434249,47.750000,13.283740
184,1.473545,46.716000,1.456335,47.080000,14.238268
185,1.473864,46.346000,1.453684,46.910000,14.475149
186,1.478560,45.710000,1.458800,46.410000,15.346277
187,1.460109,47.198000,1.450336,47.010000,13.899572
188,1.441782,47.234000,1.425228,48.180000,14.587397
189,1.449285,47.178000,1.424720,47.960000,15.005468
190,1.436441,47.834000,1.417883,48.600000,15.433757
191,1.463341,47.126000,1.435626,47.910000,14.028091
192,1.478776,46.622000,1.469389,46.430000,14.905799
193,1.435406,47.952000,1.416530,47.920000,13.065581
194,1.423199,48.264000,1.403593,48.640000,16.715447
195,1.419012,48.088000,1.394786,48.980000,14.529733
196,1.419910,48.310000,1.397605,49.210000,13.525861
197,1.437079,47.726000,1.412668,48.290000,14.276704
198,1.429102,48.204000,1.413906,48.470000,13.561102
199,1.431037,47.772000,1.409040,49.140000,15.168323
200,1.426798,48.280000,1.413039,48.460000,14.385948
201,1.414320,48.282000,1.391749,49.260000,16.131195
202,1.435573,48.218000,1.415265,48.550000,14.919980
203,1.455068,47.174000,1.431884,47.650000,14.034245
204,1.414000,48.884000,1.399739,48.630000,14.397141
205,1.398197,49.394000,1.375530,49.920000,14.739927
206,1.408933,48.972000,1.383495,50.000000,14.567970
207,1.395147,49.240000,1.371719,50.480000,13.244099
208,1.424465,48.414000,1.417597,48.260000,13.916743
209,1.413433,48.778000,1.396672,49.190000,13.450958
210,1.392384,49.276000,1.378346,49.820000,13.881279
211,1.394751,49.234000,1.378779,50.150000,13.781928
212,1.382604,49.808000,1.360874,50.290000,12.667128
213,1.397364,49.488000,1.383505,49.730000,12.226931
214,1.420891,48.596000,1.404215,49.060000,12.180993
215,1.401353,49.158000,1.382694,49.790000,13.663022
216,1.379754,49.890000,1.359001,50.580000,14.075913
217,1.361884,50.448000,1.348537,50.830000,14.358552
218,1.399120,49.196000,1.379739,49.810000,12.741483
219,1.374638,50.250000,1.358852,51.130000,13.124541
220,1.387900,49.866000,1.374089,50.060000,12.606471
221,1.409294,49.154000,1.388725,49.770000,14.560177
222,1.380008,50.282000,1.358083,50.880000,15.782033
223,1.366767,50.426000,1.342168,51.430000,13.202401
224,1.365986,50.434000,1.352039,50.790000,12.277340
225,1.385599,49.824000,1.365157,51.020000,13.458284
226,1.413856,49.074000,1.397163,49.490000,13.599722
227,1.362610,50.608000,1.337616,51.570000,13.598131
228,1.365362,50.496000,1.346293,51.150000,14.281612
229,1.353748,50.704000,1.338889,51.320000,13.237628
230,1.354612,51.228000,1.329413,51.870000,13.446839
231,1.346603,51.180000,1.326175,51.970000,13.342488
232,1.364255,50.314000,1.339143,51.430000,13.904860
233,1.354217,50.930000,1.336993,51.310000,13.028046
234,1.339181,51.426000,1.317705,52.290000,15.033747
235,1.359600,50.582000,1.337301,51.880000,16.480288
236,1.342931,51.590000,1.323230,51.790000,15.584256
237,1.342714,51.154000,1.322707,52.170000,14.360468
238,1.348248,51.250000,1.332410,51.420000,14.235792
239,1.332064,51.204000,1.312983,52.050000,13.984599
240,1.366045,50.596000,1.347810,51.400000,14.563087
241,1.326641,52.000000,1.306231,52.530000,14.994365
242,1.336017,51.840000,1.320226,52.390000,14.171965
243,1.328568,51.830000,1.309096,52.530000,14.716172
244,1.350688,51.232000,1.330334,51.630000,14.902994
245,1.322203,52.128000,1.299424,52.650000,13.668327
246,1.330398,51.874000,1.319447,51.810000,13.777583
247,1.323213,52.180000,1.302988,52.660000,14.844828
248,1.314300,51.932000,1.297815,52.680000,15.680271
249,1.310996,52.298000,1.286114,53.140000,13.878320
250,1.335502,51.392000,1.318709,51.750000,13.304581
251,1.308595,52.272000,1.290827,52.840000,14.952966
252,1.309312,52.570000,1.294608,53.090000,14.610032
253,1.295363,52.914000,1.278889,53.340000,14.120299
254,1.304580,52.248000,1.290326,52.980000,14.908802
255,1.299345,52.686000,1.282335,53.060000,14.190039
256,1.318886,51.824000,1.296792,52.410000,12.855642
257,1.306640,52.548000,1.287062,53.210000,13.725055
258,1.305405,52.480000,1.279237,53.450000,14.036523
259,1.307671,51.918000,1.289493,52.670000,13.869940
260,1.287815,53.004000,1.270374,53.590000,15.068748
261,1.305283,52.410000,1.291619,53.020000,12.939805
262,1.293770,52.928000,1.274487,53.580000,14.776563
263,1.296925,53.078000,1.279967,53.280000,14.027291
264,1.299892,52.852000,1.280574,53.700000,14.445548
265,1.293661,52.908000,1.271062,53.850000,15.394000
266,1.284542,53.140000,1.266711,53.930000,14.422182
267,1.279321,53.680000,1.264602,54.070000,14.686257
268,1.280694,53.448000,1.259206,54.230000,17.229816
269,1.294641,52.394000,1.278077,52.770000,14.485498
270,1.288377,52.982000,1.278777,53.420000,14.161349
271,1.306746,52.556000,1.289010,52.990000,14.123019
272,1.282109,53.144000,1.260508,53.930000,13.474688
273,1.277626,53.628000,1.255283,54.450000,14.734890
274,1.279446,53.448000,1.263800,54.070000,14.416703
275,1.281139,53.592000,1.256553,54.470000,15.269838
276,1.277339,53.878000,1.257985,54.270000,14.043059
277,1.262180,54.064000,1.244561,54.600000,14.147348
