iter,train_loss,train_acc,test_loss,test_acc,time
1,2.314055,10.000000,2.314055,10.000000,0.000000
2,2.326939,10.000000,2.326938,10.000000,0.021719
3,2.316167,10.010000,2.315956,10.030000,0.022099
4,2.302760,10.876000,2.299690,10.930000,0.020934
5,2.273276,11.894000,2.264002,12.250000,0.019326
6,2.231615,12.348000,2.219550,12.800000,0.019701
7,2.263909,13.826000,2.253697,14.080000,0.019803
8,2.181577,18.212000,2.162802,19.170000,0.022088
9,2.114381,20.472000,2.095419,21.500000,0.020248
10,2.062796,21.690000,2.050197,22.520000,0.020460
11,1.951686,25.920000,1.946022,26.770000,0.019954
12,1.938749,25.864000,1.923699,26.850000,0.019873
13,1.931894,26.026000,1.906225,27.180000,0.021349
14,1.912006,26.770000,1.896382,27.560000,0.023010
15,1.899780,26.420000,1.885094,27.050000,0.021447
16,1.891019,28.038000,1.881615,29.240000,0.019593
17,1.862996,28.922000,1.848563,29.860000,0.021177
18,1.854217,29.270000,1.839489,30.520000,0.020233
19,1.855280,28.922000,1.833086,30.850000,0.030914
20,1.822678,29.728000,1.796460,31.930000,0.030251
21,1.818383,30.640000,1.796890,31.850000,0.028652
22,1.806238,31.458000,1.764739,33.020000,0.031069
23,1.780927,32.360000,1.735351,33.600000,0.037894
24,1.974273,26.844000,1.899022,30.100000,0.033874
25,1.840410,30.690000,1.783923,33.580000,0.037939
26,1.790474,32.734000,1.740509,35.110000,0.038923
27,1.746484,34.356000,1.707051,35.890000,0.040464
28,1.730577,35.226000,1.713640,36.280000,0.039228
29,1.735412,33.938000,1.668404,36.920000,0.045719
30,1.726379,35.388000,1.690975,37.680000,0.037959
31,1.703429,35.838000,1.634180,38.060000,0.038769
32,1.676920,36.282000,1.620283,39.030000,0.034448
33,1.649988,37.780000,1.602520,39.720000,0.034659
34,1.652420,37.506000,1.612796,39.140000,0.036403
35,1.631276,38.630000,1.596828,40.170000,0.034171
36,1.646903,38.298000,1.595062,40.340000,0.042059
37,1.572243,41.258000,1.546105,42.070000,0.039952
38,1.608668,40.616000,1.633577,39.490000,0.038515
39,1.572825,41.762000,1.570891,41.480000,0.034871
40,1.574018,41.400000,1.559635,41.650000,0.038908
