iter,train_loss,train_acc,test_loss,test_acc,time
1,4.678683,1.000000,4.678683,1.000000,0.000000
2,4.652572,1.000000,4.652554,1.000000,0.000000
3,4.385352,2.792000,4.367073,3.120000,0.000000
4,4.322081,3.430000,4.305930,3.740000,0.000000
5,4.304902,3.370000,4.295620,3.450000,0.026141
6,4.286773,3.938000,4.277745,4.040000,0.024620
7,4.292183,3.300000,4.283014,3.260000,0.023782
8,4.298923,3.588000,4.286410,3.560000,0.026980
9,4.286287,3.842000,4.269247,3.870000,0.024666
10,4.290895,3.508000,4.274180,3.810000,0.022956
11,4.266269,4.190000,4.253292,4.310000,0.024197
12,4.337934,3.436000,4.326338,3.510000,0.024679
13,4.300682,4.334000,4.287783,4.460000,0.021361
14,4.344032,4.474000,4.326638,4.860000,0.021048
15,4.456657,4.438000,4.442158,4.320000,0.023146
16,4.260858,5.474000,4.238599,5.840000,0.019515
17,4.253106,5.592000,4.244600,5.700000,0.025570
18,4.342637,4.052000,4.324576,4.220000,0.021603
19,4.246798,5.568000,4.235490,5.810000,0.022816
20,4.378783,4.508000,4.353178,4.680000,0.024417
21,4.288524,5.392000,4.293188,5.530000,0.028590
22,4.372470,4.788000,4.380186,5.080000,0.025205
23,4.373794,4.912000,4.387189,4.750000,0.026203
24,4.394477,5.140000,4.395394,5.510000,0.020472
25,4.629104,4.342000,4.630459,4.510000,0.023756
26,4.460066,4.044000,4.484288,4.170000,0.023364
27,4.390312,3.990000,4.391833,4.140000,0.021772
28,4.484223,4.450000,4.476188,4.670000,0.022796
29,4.666371,4.216000,4.693895,4.650000,0.021529
30,4.515346,4.980000,4.542542,5.080000,0.022284
31,4.362399,5.408000,4.378798,5.560000,0.023718
32,4.398470,5.392000,4.409445,5.800000,0.023757
33,4.225567,6.090000,4.227666,6.460000,0.022108
34,4.098546,7.238000,4.105365,7.380000,0.019627
35,4.197171,7.186000,4.209067,7.470000,0.022336
36,4.104056,7.030000,4.120671,7.860000,0.024564
37,4.186469,7.394000,4.214218,7.510000,0.024728
38,4.076312,8.236000,4.084016,8.380000,0.022280
39,4.106830,7.518000,4.104991,7.600000,0.021164
40,4.117639,8.108000,4.124417,8.360000,0.025266
41,4.136738,7.840000,4.143199,7.870000,0.022347
42,4.185818,8.152000,4.197229,8.290000,0.022828
43,4.009422,8.308000,4.018080,8.540000,0.021902
44,3.919912,9.148000,3.928910,9.180000,0.022934
45,3.961775,8.102000,3.975130,7.840000,0.023087
46,3.925092,9.302000,3.937188,9.100000,0.023647
47,3.884883,9.190000,3.904782,9.330000,0.022152
48,3.893657,9.114000,3.895873,9.450000,0.021809
49,3.871029,9.494000,3.870057,10.230000,0.022043
50,3.873871,8.596000,3.901559,8.760000,0.021694
51,3.861279,9.170000,3.881181,9.470000,0.023739
52,3.812193,9.638000,3.832219,9.940000,0.023134
53,3.789043,10.190000,3.805686,10.870000,0.023537
54,3.769582,11.232000,3.788835,11.480000,0.024760
55,3.745031,10.888000,3.749740,11.460000,0.024407
56,3.746978,10.610000,3.745358,11.120000,0.023443
57,3.782641,10.302000,3.792478,10.870000,0.020631
58,3.728052,10.942000,3.723057,11.380000,0.022977
59,3.808154,9.880000,3.788364,10.860000,0.020483
60,3.771077,11.074000,3.770701,11.490000,0.021965
61,3.754425,10.972000,3.762492,10.970000,0.019876
62,3.751178,11.200000,3.762568,11.430000,0.023027
63,3.703992,11.912000,3.729100,12.210000,0.021511
64,3.695461,12.504000,3.723636,12.320000,0.021640
65,3.683854,11.648000,3.699042,12.090000,0.024785
66,3.773006,10.872000,3.805480,11.300000,0.021101
67,3.753381,11.266000,3.776388,11.740000,0.022515
68,3.664451,13.292000,3.676210,13.480000,0.023282
69,3.647472,13.296000,3.662308,13.420000,0.022204
70,3.664207,12.820000,3.696741,12.740000,0.021709
71,3.624114,13.128000,3.649310,13.260000,0.020965
72,3.544941,15.014000,3.552132,15.350000,0.022740
73,3.599327,14.440000,3.612988,14.550000,0.022838
74,3.605003,13.978000,3.619399,13.970000,0.020717
75,3.603860,13.110000,3.617305,13.080000,0.023945
