iter,train_loss,train_acc,test_loss,test_acc,time
1,4.677218,1.000000,4.677218,1.000000,0.000000
2,4.659273,1.000000,4.659274,1.000000,331.984912
3,4.633024,1.000000,4.633024,1.000000,350.747361
4,4.640713,1.000000,4.640709,1.000000,331.235900
5,4.632537,1.000000,4.632527,1.000000,376.082991
6,4.639630,1.000000,4.639594,1.000000,385.117232
7,4.634603,1.000000,4.634478,1.000000,376.457873
8,4.637919,1.000000,4.637616,1.000000,371.204980
9,4.638467,1.000000,4.638045,1.000000,346.312561
10,4.634605,1.000000,4.632996,1.020000,361.827279
11,4.642398,1.000000,4.640726,1.000000,338.588804
12,4.639565,0.994000,4.637918,0.980000,362.674956
13,4.644658,1.002000,4.641532,1.000000,393.451019
14,4.636044,1.040000,4.632954,1.080000,397.741042
15,4.625665,1.002000,4.622322,1.000000,350.564091
16,4.613851,1.346000,4.610629,1.490000,405.317652
17,4.601758,1.342000,4.595689,1.440000,358.307069
18,4.777095,1.110000,4.787468,1.070000,352.568731
19,4.566690,1.424000,4.557119,1.510000,364.594055
20,4.524802,1.436000,4.514484,1.620000,367.301488
21,4.497459,1.966000,4.483533,2.070000,337.616738
22,4.520049,2.084000,4.508612,1.980000,403.219672
23,4.494196,1.698000,4.478098,1.780000,369.153177
24,4.458961,2.276000,4.442887,2.360000,336.174245
25,4.477965,2.200000,4.464411,2.350000,374.935347
26,5.177897,0.944000,5.200036,1.010000,361.701874
27,4.529990,1.534000,4.517422,1.700000,382.319694
28,4.562887,1.668000,4.545539,2.020000,368.465889
29,4.501291,1.852000,4.481340,2.110000,358.787397
30,4.440558,2.228000,4.424838,2.410000,321.134714
31,4.392704,2.818000,4.379172,2.960000,397.491334
32,4.548133,1.630000,4.529245,1.680000,360.931425
33,4.442588,2.286000,4.429221,2.370000,362.763372
34,4.460594,2.344000,4.443493,2.500000,349.052297
35,4.539193,1.942000,4.549420,1.880000,384.844883
36,4.360995,2.820000,4.339573,3.020000,358.911646
37,4.367425,3.060000,4.351322,3.070000,399.291792
38,4.340030,3.278000,4.311012,3.810000,358.194995
39,4.313678,3.732000,4.295677,3.610000,362.627048
40,4.374772,3.504000,4.356631,3.530000,362.227011
41,4.309231,3.946000,4.290436,4.000000,336.420839
42,4.352155,3.400000,4.340471,3.560000,366.957921
43,4.266990,4.384000,4.237428,4.470000,356.233192
44,4.395581,3.072000,4.365566,3.130000,402.286646
45,4.330082,4.168000,4.302571,4.320000,369.837826
46,4.279412,4.492000,4.250013,4.610000,360.888048
47,4.294422,3.814000,4.265995,3.860000,362.081947
48,4.226698,4.990000,4.195237,5.110000,395.290046
49,4.076272,6.692000,4.054390,6.910000,373.676424
50,4.154402,5.592000,4.126280,5.460000,377.665280
51,4.098262,6.554000,4.075497,6.710000,386.567312
52,4.158228,5.550000,4.129959,5.930000,393.357336
53,4.117295,6.478000,4.083758,6.870000,398.862993
