iter,train_loss,train_acc,test_loss,test_acc,time
1,4.667005,1.000000,4.667005,1.000000,0.000000
2,4.635046,1.000000,4.634992,1.000000,0.000000
3,4.302953,3.390000,4.290761,3.560000,0.000000
4,4.221988,4.462000,4.204982,4.600000,0.000000
5,4.249450,4.454000,4.235212,4.830000,429.430808
6,4.232526,4.402000,4.228206,4.340000,406.846214
7,4.221575,4.514000,4.213102,4.700000,401.608534
8,4.218994,4.482000,4.210194,4.640000,410.187287
9,4.309888,3.990000,4.302676,3.980000,401.395769
10,4.260104,4.528000,4.243714,4.850000,406.099354
11,4.220446,4.772000,4.206830,5.010000,400.946900
12,4.201626,4.956000,4.190955,5.210000,397.953435
13,4.203568,4.754000,4.187562,5.220000,396.541032
14,4.213556,4.426000,4.202816,4.650000,399.091278
15,4.207047,4.634000,4.186235,5.250000,392.421182
16,4.834617,2.598000,4.908670,2.540000,399.329058
17,4.207323,4.690000,4.210098,4.800000,412.714610
18,4.106151,5.974000,4.095067,6.280000,397.352917
19,4.174143,5.062000,4.178190,4.990000,415.310264
20,4.113724,5.700000,4.094104,6.020000,405.330570
21,4.060885,6.578000,4.033145,7.340000,406.954357
22,4.101978,5.970000,4.088411,6.270000,421.870404
23,4.059523,6.456000,4.029009,7.080000,413.352516
24,4.128571,5.430000,4.091330,5.950000,398.241057
25,4.083116,5.978000,4.063665,5.970000,389.004984
26,4.102719,5.604000,4.077029,5.960000,405.908100
27,4.023696,6.636000,3.991090,7.390000,413.338211
28,4.064918,6.680000,4.047773,6.840000,400.372451
29,4.096201,6.056000,4.056819,6.190000,412.651121
30,4.041747,6.968000,3.996576,7.480000,415.481872
31,4.030092,6.938000,3.993110,7.360000,402.815924
32,3.987898,7.402000,3.943914,8.490000,432.347553
33,3.971136,7.798000,3.941204,8.730000,415.349307
34,3.964476,7.822000,3.935528,8.350000,416.674849
35,3.950818,7.986000,3.925008,8.510000,429.008699
36,3.967992,7.928000,3.941695,8.540000,389.648735
37,3.914627,8.442000,3.884003,9.190000,417.029042
38,3.940151,8.262000,3.913866,9.040000,425.806659
39,3.868078,9.402000,3.839359,10.010000,416.985820
40,4.044397,6.922000,4.003681,7.410000,406.549457
41,3.894141,9.036000,3.864388,9.800000,428.017627
42,3.850222,9.744000,3.824532,10.310000,418.065266
43,3.865816,8.968000,3.816700,9.870000,430.174667
44,3.849143,9.498000,3.814053,10.290000,425.056409
45,3.857873,9.412000,3.810951,10.050000,415.518882
46,4.008133,8.438000,3.997359,9.300000,428.521526
47,3.896026,8.928000,3.854726,9.940000,423.425288
48,3.853970,9.774000,3.816930,10.950000,411.342439
49,3.854765,9.890000,3.815471,10.930000,410.702278
50,3.773115,10.778000,3.746644,11.310000,431.010744
51,3.765575,11.176000,3.736383,11.610000,427.819817
52,4.093576,7.482000,4.157350,6.770000,435.626325
53,3.847598,9.612000,3.849424,10.000000,417.778168
54,3.766734,11.726000,3.725746,12.270000,415.115983
55,4.921484,3.756000,4.947152,3.540000,413.785024
56,3.819330,10.166000,3.785960,10.550000,420.763041
57,3.765817,11.100000,3.730070,12.130000,394.353179
58,3.744693,11.342000,3.714635,11.800000,432.972720
59,3.721119,11.638000,3.692596,12.450000,423.939951
60,3.842852,10.114000,3.826876,10.330000,433.277724
61,4.161636,7.140000,4.141138,7.220000,423.434008
62,3.676071,12.844000,3.643875,13.850000,420.948968
63,3.690637,12.344000,3.682025,12.660000,427.348584
64,3.663062,13.078000,3.655833,13.240000,433.313556
