iter,train_loss,train_acc,test_loss,test_acc,time
1,4.678731,1.000000,4.678730,1.000000,0.000000
2,4.663783,0.998000,4.663397,0.990000,0.000000
3,4.330194,2.930000,4.319762,3.260000,0.000000
4,4.324229,3.486000,4.312314,3.620000,0.000000
5,4.303113,3.402000,4.288279,3.630000,0.000000
6,4.178440,4.744000,4.168965,5.140000,0.000000
7,4.145107,4.770000,4.140317,4.990000,0.000000
8,4.093572,5.930000,4.090813,5.990000,0.000000
9,4.014783,6.804000,3.996627,6.920000,0.000000
10,4.012313,6.660000,4.025853,7.010000,0.000000
11,3.930003,8.128000,3.924764,8.540000,0.000000
12,3.969577,6.974000,3.975471,7.390000,0.000000
13,3.865537,9.658000,3.858149,9.810000,0.000000
14,3.847681,9.870000,3.834108,10.200000,0.000000
15,3.798038,9.750000,3.788868,9.780000,0.000000
16,3.734232,11.282000,3.730332,11.520000,0.000000
17,3.741701,11.390000,3.742538,11.230000,0.000000
18,3.688901,12.074000,3.690196,11.910000,0.000000
19,3.660243,12.304000,3.655462,12.300000,0.000000
20,3.661665,12.904000,3.676460,12.480000,0.000000
21,3.610983,13.318000,3.610487,13.560000,0.000000
22,3.594057,13.604000,3.606774,13.640000,0.000000
23,3.535652,14.310000,3.519824,14.430000,0.000000
24,3.569914,14.168000,3.581849,14.240000,0.000000
25,3.497808,15.246000,3.496986,15.650000,0.000000
26,3.490208,15.470000,3.492293,15.680000,0.000000
27,3.438386,15.990000,3.422659,16.350000,0.000000
28,3.441175,16.094000,3.448874,16.360000,0.000000
29,3.382632,17.608000,3.379649,17.260000,0.000000
30,3.377028,17.264000,3.377928,17.710000,0.000000
31,3.371143,17.280000,3.390952,17.010000,0.000000
32,3.320943,18.272000,3.326304,18.310000,0.000000
33,3.273959,19.256000,3.267086,19.900000,0.000000
34,3.304916,18.240000,3.311020,19.070000,0.000000
35,3.217459,20.300000,3.205979,20.820000,0.000000
36,3.253267,19.172000,3.264341,19.670000,0.000000
37,3.194520,20.778000,3.195028,20.970000,0.000000
38,3.192054,20.728000,3.200161,20.950000,0.000000
39,3.145673,21.406000,3.148462,21.550000,0.000000
40,3.112392,21.992000,3.115946,22.170000,0.000000
41,3.091661,22.638000,3.106266,22.780000,0.000000
42,3.100470,22.306000,3.105629,22.360000,0.000000
43,3.062310,23.008000,3.070524,23.110000,0.000000
44,3.030914,23.948000,3.035549,24.100000,0.000000
45,3.017202,23.844000,3.030899,23.840000,0.000000
46,2.984764,24.774000,2.989820,25.000000,0.000000
47,2.990794,24.378000,2.997707,24.720000,0.000000
48,2.951258,25.464000,2.961866,25.440000,0.000000
49,2.937928,25.094000,2.967254,24.860000,0.000000
50,2.912905,25.866000,2.926839,25.410000,0.000000
51,2.884505,26.736000,2.912582,26.700000,0.000000
52,2.860048,26.990000,2.877986,26.870000,0.000000
53,2.858207,27.280000,2.866941,27.120000,0.000000
54,2.830422,27.996000,2.848972,27.490000,0.000000
55,2.816023,28.246000,2.836598,27.400000,0.000000
56,2.805079,28.360000,2.819373,28.100000,0.000000
57,2.798474,28.478000,2.829517,27.920000,0.000000
58,2.772956,28.664000,2.799254,28.280000,0.000000
59,2.762489,29.108000,2.786941,28.750000,0.000000
60,2.729024,29.358000,2.744970,29.360000,0.000000
61,2.677793,30.938000,2.698215,30.770000,0.000000
62,2.690901,30.784000,2.712763,30.460000,0.000000
63,2.660909,30.812000,2.679915,30.600000,0.000000
64,2.649234,30.900000,2.683777,30.870000,0.000000
65,2.638069,31.710000,2.661432,31.520000,0.000000
66,2.616078,31.818000,2.628149,31.560000,0.000000
67,2.603787,32.340000,2.641517,31.900000,0.000000
68,2.558016,33.168000,2.591218,32.960000,0.000000
69,2.534162,33.794000,2.577446,32.960000,0.000000
70,2.517535,34.250000,2.550224,33.620000,0.000000
71,2.493819,34.572000,2.534625,33.900000,0.000000
72,2.522804,34.142000,2.586444,33.010000,0.000000
73,2.459643,35.252000,2.485448,34.890000,0.000000
74,2.447322,36.000000,2.474512,35.190000,0.000000
75,2.443716,35.930000,2.480417,34.340000,0.000000
76,2.406947,36.510000,2.441446,36.030000,0.000000
77,2.430212,35.486000,2.476308,34.790000,0.000000
78,2.401684,36.866000,2.425979,36.260000,0.000000
79,2.356033,37.572000,2.406232,36.310000,0.000000
80,2.332913,37.946000,2.373971,37.040000,0.000000
81,2.330162,37.928000,2.387156,36.700000,0.000000
82,2.333752,37.842000,2.379791,36.490000,0.000000
83,2.301957,38.680000,2.350358,37.990000,0.000000
84,2.285119,38.886000,2.346131,38.130000,0.000000
85,2.259313,39.916000,2.312215,38.420000,0.000000
86,2.248007,40.246000,2.309774,38.450000,0.000000
87,2.244027,39.880000,2.323840,38.230000,0.000000
88,2.216902,40.180000,2.269098,39.120000,0.000000
89,2.211898,40.620000,2.275698,39.320000,0.000000
90,2.195624,41.090000,2.259141,39.750000,0.000000
91,2.197106,40.816000,2.269454,39.800000,0.000000
92,2.194929,40.982000,2.276940,39.350000,0.000000
93,2.145687,42.056000,2.217579,40.560000,0.000000
94,2.174398,41.164000,2.261394,39.800000,0.000000
95,2.101566,43.210000,2.178801,41.230000,0.000000
96,2.093931,43.168000,2.169269,41.490000,0.000000
97,2.100530,42.900000,2.191780,40.990000,0.000000
98,2.100609,43.144000,2.176327,41.140000,0.000000
99,2.069881,43.570000,2.154925,42.140000,0.000000
100,2.067396,43.936000,2.143917,41.370000,0.000000
101,2.029743,44.794000,2.101526,43.160000,0.000000
102,2.083627,43.706000,2.183386,41.740000,0.000000
103,2.014902,44.856000,2.100970,42.890000,0.000000
104,2.019591,44.932000,2.109339,42.880000,0.000000
105,1.992162,45.718000,2.090680,43.290000,0.000000
106,1.988530,45.546000,2.086530,43.490000,0.000000
107,1.972033,45.852000,2.074025,43.220000,0.000000
108,1.964193,46.376000,2.056592,44.020000,0.000000
109,2.013913,45.038000,2.109225,42.910000,0.000000
110,1.946453,46.348000,2.042345,44.140000,0.000000
111,1.949885,46.548000,2.050662,44.200000,0.000000
112,1.924671,47.088000,2.028592,44.170000,0.000000
113,1.909849,47.150000,2.030421,44.340000,0.000000
114,1.894404,47.640000,2.003801,45.030000,0.000000
115,1.908759,47.468000,2.004507,44.780000,0.000000
116,1.877975,48.102000,1.991672,45.290000,0.000000
117,1.892496,47.842000,2.034080,44.830000,0.000000
118,1.855718,48.392000,1.966828,45.730000,0.000000
119,1.854554,48.418000,1.979298,46.110000,0.000000
120,1.847021,49.016000,1.959570,46.190000,0.000000
121,1.799650,50.240000,1.933873,46.750000,0.000000
122,1.825411,49.630000,1.936294,47.090000,0.000000
123,1.794119,50.238000,1.919042,47.220000,0.000000
124,1.773838,50.650000,1.913350,47.440000,0.000000
125,1.778437,50.218000,1.913867,47.680000,0.000000
126,1.745939,51.386000,1.877740,47.910000,0.000000
127,1.754883,50.968000,1.894659,47.770000,0.000000
128,1.771111,50.780000,1.913393,47.200000,0.000000
129,1.740204,51.658000,1.869825,48.490000,0.000000
130,1.761992,50.970000,1.911592,48.000000,0.000000
131,1.708651,52.080000,1.864065,48.280000,0.000000
132,1.698513,52.272000,1.835887,48.990000,0.000000
133,1.702733,52.092000,1.850922,49.020000,0.000000
134,1.721351,51.672000,1.879553,47.960000,0.000000
135,1.707697,52.128000,1.858102,49.220000,0.000000
136,1.672311,53.018000,1.824546,49.230000,0.000000
137,1.668959,53.286000,1.822822,49.620000,0.000000
138,1.671975,53.174000,1.825041,49.720000,0.000000
139,1.644952,53.716000,1.797001,50.220000,0.000000
140,1.638916,53.848000,1.793551,50.410000,0.000000
141,1.655028,53.466000,1.822890,49.640000,0.000000
142,1.618658,54.326000,1.788228,50.520000,0.000000
143,1.632863,53.638000,1.806935,49.950000,0.000000
144,1.580944,55.468000,1.752456,51.370000,0.000000
145,1.598976,54.862000,1.777895,50.320000,0.000000
146,1.629797,54.048000,1.824013,49.450000,0.000000
147,1.587912,55.166000,1.772650,50.790000,0.000000
148,1.577082,55.306000,1.767240,50.790000,0.000000
149,1.549210,56.218000,1.730009,51.520000,0.000000
150,1.562188,55.672000,1.765771,51.330000,0.000000
151,1.563597,55.762000,1.740132,51.810000,0.000000
152,1.559720,55.650000,1.755601,51.010000,0.000000
153,1.524184,56.724000,1.709250,52.230000,0.000000
154,1.519801,56.878000,1.715476,52.130000,0.000000
155,1.527796,56.708000,1.720875,52.060000,0.000000
156,1.495798,57.442000,1.699654,53.110000,0.000000
157,1.508367,56.780000,1.724845,51.810000,0.000000
158,1.513322,56.794000,1.731620,51.980000,0.000000
159,1.475539,57.752000,1.679437,53.170000,0.000000
160,1.468822,58.348000,1.678337,53.110000,0.000000
161,1.456069,58.204000,1.656578,53.860000,0.000000
162,1.466734,58.184000,1.664876,53.080000,0.000000
163,1.444094,58.590000,1.657234,53.520000,0.000000
164,1.468635,58.056000,1.684764,52.870000,0.000000
165,1.441460,58.700000,1.659329,53.550000,0.000000
166,1.431899,58.964000,1.644388,54.120000,0.000000
167,1.426452,59.138000,1.647190,54.180000,0.000000
168,1.420504,59.314000,1.644628,53.930000,0.000000
169,1.398867,59.920000,1.610071,55.030000,0.000000
170,1.393383,60.000000,1.624045,54.380000,0.000000
171,1.380942,60.322000,1.598131,55.240000,0.000000
172,1.382268,60.052000,1.608979,55.030000,0.000000
173,1.377501,60.232000,1.614676,54.610000,0.000000
174,1.376705,60.144000,1.612710,54.620000,0.000000
175,1.349649,61.272000,1.581203,55.200000,0.000000
176,1.352832,61.062000,1.603131,55.290000,0.000000
177,1.346376,60.782000,1.583188,55.100000,0.000000
178,1.347696,61.078000,1.610423,54.560000,0.000000
179,1.360988,60.744000,1.614513,54.640000,0.000000
180,1.320768,61.880000,1.564091,56.110000,0.000000
181,1.309985,62.170000,1.579385,55.750000,0.000000
182,1.319759,61.764000,1.574610,55.440000,0.000000
183,1.307685,62.060000,1.572727,55.680000,0.000000
184,1.292345,62.712000,1.550085,55.980000,0.000000
185,1.325889,61.258000,1.601524,55.170000,0.000000
186,1.295062,62.568000,1.557259,56.420000,0.000000
187,1.282783,62.668000,1.560351,55.990000,0.000000
188,1.276525,62.578000,1.543682,56.700000,0.000000
189,1.284461,62.834000,1.550250,56.460000,0.000000
190,1.289744,62.926000,1.560097,55.990000,0.000000
191,1.267316,63.124000,1.552968,56.380000,0.000000
192,1.257853,63.610000,1.527733,57.590000,0.000000
193,1.252507,63.828000,1.520219,57.190000,0.000000
194,1.239006,63.778000,1.527773,56.760000,0.000000
195,1.230370,64.220000,1.517470,57.010000,0.000000
196,1.214862,64.626000,1.487107,58.240000,0.000000
197,1.210561,64.854000,1.509327,57.420000,0.000000
198,1.186839,65.284000,1.480465,57.890000,0.000000
199,1.193590,65.190000,1.489827,57.290000,0.000000
200,1.195815,65.262000,1.493173,57.660000,0.000000
201,1.178166,65.614000,1.483060,58.270000,0.000000
202,1.202970,64.614000,1.511850,56.970000,0.000000
203,1.185925,65.226000,1.492600,57.630000,0.000000
204,1.179316,65.276000,1.485905,58.020000,0.000000
205,1.175682,65.620000,1.493045,57.740000,0.000000
206,1.154781,65.978000,1.474338,58.210000,0.000000
207,1.152008,66.314000,1.461777,58.730000,0.000000
208,1.148907,66.314000,1.473048,58.500000,0.000000
209,1.155290,65.878000,1.477309,58.210000,0.000000
210,1.129847,66.848000,1.451849,59.190000,0.000000
211,1.146897,66.186000,1.471847,58.290000,0.000000
212,1.145413,66.368000,1.471693,58.410000,0.000000
213,1.124545,66.860000,1.461121,58.230000,0.000000
214,1.119156,67.136000,1.447316,59.110000,0.000000
215,1.111135,67.446000,1.444246,59.330000,0.000000
216,1.111732,67.320000,1.448049,59.140000,0.000000
217,1.129563,67.002000,1.463987,58.950000,0.000000
218,1.084783,67.960000,1.415253,59.990000,0.000000
219,1.105635,67.526000,1.470031,58.580000,0.000000
220,1.082961,68.142000,1.445213,59.480000,0.000000
221,1.080994,68.302000,1.435705,59.400000,0.000000
222,1.076514,68.296000,1.431270,59.480000,0.000000
223,1.075432,68.282000,1.427857,59.650000,0.000000
224,1.051427,69.098000,1.399140,60.090000,0.000000
225,1.073919,68.012000,1.436741,59.440000,0.000000
226,1.050471,68.942000,1.409974,60.010000,0.000000
227,1.076088,67.816000,1.446649,59.450000,0.000000
228,1.042973,69.188000,1.411134,59.840000,0.000000
229,1.047139,68.878000,1.418757,60.020000,0.000000
230,1.050821,68.834000,1.423493,59.700000,0.000000
231,1.028257,69.522000,1.417620,59.360000,0.000000
232,1.031533,69.394000,1.424291,59.480000,0.000000
233,1.023358,69.762000,1.415362,59.980000,0.000000
234,1.001643,70.252000,1.395008,60.470000,0.000000
235,1.006856,70.174000,1.395440,60.600000,0.000000
236,1.001165,70.256000,1.401288,60.380000,0.000000
237,0.995036,70.502000,1.388303,60.790000,0.000000
238,0.988106,70.864000,1.385818,60.720000,0.000000
239,0.989430,70.768000,1.394774,60.550000,0.000000
240,0.984428,70.800000,1.384369,60.820000,0.000000
241,0.969932,71.142000,1.371289,61.020000,0.000000
242,0.964642,71.184000,1.370663,60.950000,0.000000
243,0.965297,71.368000,1.375094,61.160000,0.000000
244,0.971608,71.074000,1.380792,61.050000,0.000000
245,0.975877,71.328000,1.389150,61.480000,0.000000
246,0.942833,71.698000,1.362508,61.810000,0.000000
247,0.946091,71.764000,1.366645,61.760000,0.000000
248,0.939319,72.018000,1.355362,61.540000,0.000000
249,0.956135,71.640000,1.378756,61.020000,0.000000
250,0.927629,72.228000,1.354385,61.790000,0.000000
251,0.932603,72.020000,1.364203,61.540000,0.000000
252,0.919341,72.540000,1.356230,61.690000,0.000000
253,0.942436,71.506000,1.406989,60.430000,0.000000
254,0.912628,72.746000,1.356103,61.930000,0.000000
255,0.913730,72.556000,1.365735,61.180000,0.000000
256,0.892030,73.162000,1.353060,61.680000,0.000000
257,0.922724,72.252000,1.376984,62.000000,0.000000
258,0.901016,72.848000,1.354445,61.940000,0.000000
259,0.890901,73.062000,1.337158,62.070000,0.000000
260,0.892591,73.266000,1.341656,62.250000,0.000000
261,0.904571,72.692000,1.367584,61.500000,0.000000
262,0.859174,74.250000,1.316505,62.540000,0.000000
263,0.877887,73.522000,1.339488,62.360000,0.000000
264,0.862902,74.334000,1.324307,62.360000,0.000000
265,0.857333,74.310000,1.345312,62.440000,0.000000
266,0.855926,74.620000,1.317516,63.290000,0.000000
267,0.855873,74.284000,1.343101,62.270000,0.000000
268,0.866045,73.942000,1.344936,62.540000,0.000000
269,0.860476,74.026000,1.340181,62.090000,0.000000
270,0.836896,74.784000,1.330562,62.420000,0.000000
271,0.833013,75.060000,1.319768,63.120000,0.000000
272,0.859151,73.898000,1.365811,61.790000,0.000000
273,0.836592,74.694000,1.333357,62.430000,0.000000
274,0.824007,75.272000,1.316951,62.330000,0.000000
275,0.824057,74.844000,1.337873,62.840000,0.000000
276,0.811848,75.642000,1.317834,63.290000,0.000000
277,0.820390,75.478000,1.330730,62.710000,0.000000
278,0.814103,75.370000,1.327165,63.100000,0.000000
279,0.812315,75.310000,1.329764,62.980000,0.000000
280,0.806127,75.822000,1.315549,63.130000,0.000000
281,0.790746,76.144000,1.310183,62.850000,0.000000
282,0.796261,76.008000,1.315425,62.420000,0.000000
283,0.773742,76.726000,1.280684,63.570000,0.000000
284,0.786292,76.314000,1.324098,62.920000,0.000000
285,0.787841,75.846000,1.326382,62.970000,0.000000
286,0.789595,76.218000,1.321741,62.980000,0.000000
