iter,train_loss,train_acc,test_loss,test_acc,time
1,4.665989,1.000000,4.665989,1.000000,0.000000
2,4.650199,1.000000,4.650153,1.000000,0.000000
3,4.312791,3.420000,4.301845,3.710000,0.000000
4,4.242815,3.710000,4.224031,4.000000,0.000000
5,4.174086,5.008000,4.162396,5.370000,0.000000
6,4.134796,5.316000,4.114956,5.960000,0.000000
7,4.160232,5.202000,4.150350,5.860000,0.000000
8,4.074827,6.190000,4.059300,6.750000,0.000000
9,3.968287,6.974000,3.956122,7.440000,0.000000
10,3.930006,7.502000,3.918911,7.830000,0.000000
11,3.917969,8.210000,3.923893,8.180000,0.000000
12,3.857679,8.858000,3.858096,9.020000,0.000000
13,3.862536,8.562000,3.882032,8.670000,0.000000
14,3.785250,10.332000,3.771456,10.500000,0.000000
15,3.767799,10.890000,3.768453,11.100000,0.000000
16,3.766918,10.934000,3.768796,11.160000,0.000000
17,3.705334,11.662000,3.715035,11.520000,0.000000
18,3.653418,12.760000,3.658541,12.800000,0.000000
19,3.616610,13.178000,3.614340,13.980000,0.000000
20,3.617937,13.386000,3.615988,13.680000,0.000000
21,3.566771,13.716000,3.575961,13.760000,0.000000
22,3.665168,12.770000,3.689488,12.810000,0.000000
23,3.504963,15.390000,3.507564,15.960000,0.000000
24,3.506211,15.230000,3.518891,15.590000,0.000000
25,3.455071,16.404000,3.442977,16.900000,0.000000
26,3.413770,16.886000,3.423794,16.890000,0.000000
27,3.389266,17.232000,3.378672,17.730000,0.000000
28,3.354935,18.000000,3.366955,18.730000,0.000000
29,3.357164,17.898000,3.351732,18.400000,0.000000
30,3.308365,19.164000,3.301297,19.590000,0.000000
31,3.266891,19.920000,3.248307,20.360000,0.000000
32,3.272161,19.638000,3.273583,19.880000,0.000000
33,3.247395,20.062000,3.257807,20.270000,0.000000
34,3.232210,20.330000,3.231511,20.950000,0.000000
35,3.201595,20.472000,3.210125,20.920000,0.000000
36,3.149228,21.844000,3.152287,22.370000,0.000000
37,3.120445,22.278000,3.123496,22.660000,0.000000
38,3.136168,22.052000,3.144610,22.680000,0.000000
39,3.111646,22.488000,3.133083,22.990000,0.000000
40,3.063388,23.446000,3.072444,23.830000,0.000000
41,3.036505,24.154000,3.051476,24.250000,0.000000
42,3.039136,24.022000,3.048076,24.180000,0.000000
43,2.992044,25.084000,3.004696,25.430000,0.000000
44,2.998200,24.976000,3.024147,24.820000,0.000000
45,2.981308,24.818000,3.007429,24.380000,0.000000
46,2.940165,26.032000,2.952265,25.830000,0.000000
47,2.974391,25.120000,3.010007,24.690000,0.000000
48,2.926305,26.100000,2.933185,26.640000,0.000000
49,2.883961,27.036000,2.910429,26.970000,0.000000
50,2.861374,27.562000,2.886198,27.340000,0.000000
51,2.848885,27.466000,2.885726,27.170000,0.000000
52,2.813149,28.418000,2.846451,27.970000,0.000000
53,2.826207,28.422000,2.848933,28.170000,0.000000
54,2.799220,28.796000,2.830372,28.220000,0.000000
55,2.784531,28.708000,2.819851,28.230000,0.000000
56,2.775824,29.410000,2.795576,29.290000,0.000000
57,2.727818,30.368000,2.759427,29.860000,0.000000
58,2.735051,30.070000,2.763283,29.290000,0.000000
59,2.665809,31.518000,2.693718,31.190000,0.000000
60,2.658408,31.806000,2.694132,31.130000,0.000000
61,2.640860,31.916000,2.670573,32.180000,0.000000
62,2.658351,31.596000,2.711027,30.670000,0.000000
63,2.623543,32.400000,2.651748,32.000000,0.000000
64,2.608221,32.472000,2.650443,31.570000,0.000000
65,2.567120,33.756000,2.601332,33.370000,0.000000
66,2.588846,33.140000,2.611936,32.630000,0.000000
67,2.560393,33.634000,2.595110,33.220000,0.000000
68,2.525309,34.386000,2.578237,34.040000,0.000000
69,2.526401,34.444000,2.581964,34.140000,0.000000
70,2.476779,35.634000,2.517631,34.830000,0.000000
71,2.512505,34.496000,2.586072,33.250000,0.000000
72,2.452005,35.832000,2.492088,35.510000,0.000000
73,2.449454,35.892000,2.501433,35.360000,0.000000
74,2.436942,36.504000,2.484047,35.900000,0.000000
75,2.385807,37.458000,2.439452,36.460000,0.000000
76,2.387710,37.404000,2.427264,36.670000,0.000000
77,2.376411,37.624000,2.423986,36.940000,0.000000
78,2.347058,38.130000,2.388798,37.620000,0.000000
79,2.345332,38.268000,2.398157,37.440000,0.000000
80,2.330103,38.554000,2.392373,37.290000,0.000000
81,2.343496,38.206000,2.409073,36.630000,0.000000
82,2.301547,39.290000,2.345838,38.670000,0.000000
83,2.321395,38.814000,2.383147,38.020000,0.000000
84,2.272535,39.640000,2.336303,38.440000,0.000000
85,2.264263,39.778000,2.321124,38.790000,0.000000
86,2.251768,40.222000,2.316845,39.280000,0.000000
87,2.202949,41.310000,2.284013,39.870000,0.000000
88,2.195955,41.212000,2.279611,39.640000,0.000000
89,2.222817,40.876000,2.289239,39.490000,0.000000
90,2.176811,41.948000,2.260698,40.230000,0.000000
91,2.161267,42.024000,2.238479,40.910000,0.000000
92,2.176891,41.672000,2.248642,40.940000,0.000000
93,2.275525,39.822000,2.377859,38.410000,0.000000
94,2.107959,43.374000,2.198262,41.720000,0.000000
95,2.109722,43.192000,2.201497,41.770000,0.000000
96,2.095849,43.442000,2.188353,41.630000,0.000000
97,2.083510,43.826000,2.171434,42.490000,0.000000
98,2.060976,44.396000,2.157132,43.330000,0.000000
99,2.045542,44.756000,2.136393,43.170000,0.000000
100,2.052029,44.596000,2.162043,42.470000,0.000000
101,2.032984,44.968000,2.145755,42.780000,0.000000
102,2.021518,45.266000,2.135848,43.310000,0.000000
103,2.014738,45.242000,2.134995,42.890000,0.000000
104,2.017754,45.454000,2.125959,43.240000,0.000000
105,2.014310,45.408000,2.122635,43.550000,0.000000
106,1.981328,46.132000,2.091857,43.890000,0.000000
107,1.943849,47.116000,2.057868,44.900000,0.000000
108,1.939891,47.048000,2.058667,44.480000,0.000000
109,1.940801,47.230000,2.040127,45.360000,0.000000
110,1.914863,47.530000,2.033266,45.190000,0.000000
111,1.917375,47.578000,2.046517,44.590000,0.000000
112,1.903460,48.150000,2.007573,45.470000,0.000000
113,1.901527,47.914000,2.023479,45.560000,0.000000
114,1.875820,48.394000,2.018957,45.590000,0.000000
115,1.864893,48.990000,1.993727,46.100000,0.000000
116,1.856168,49.084000,1.990074,46.120000,0.000000
117,1.856349,49.076000,1.999157,45.980000,0.000000
118,1.813353,50.224000,1.944665,47.160000,0.000000
119,1.857255,49.010000,1.987312,46.340000,0.000000
120,1.835539,49.538000,1.983508,46.140000,0.000000
121,1.803014,50.250000,1.955754,46.510000,0.000000
122,1.794010,50.296000,1.934512,47.620000,0.000000
123,1.780744,50.854000,1.921930,47.830000,0.000000
124,1.777884,50.652000,1.940389,46.860000,0.000000
125,1.771978,51.060000,1.937186,47.360000,0.000000
126,1.739952,51.684000,1.900825,47.830000,0.000000
127,1.728343,51.880000,1.887191,48.040000,0.000000
128,1.729306,52.042000,1.903350,47.700000,0.000000
129,1.695191,53.050000,1.848917,49.160000,0.000000
130,1.729537,51.966000,1.901256,48.120000,0.000000
131,1.722278,52.078000,1.900284,48.220000,0.000000
132,1.664649,53.736000,1.838077,49.380000,0.000000
133,1.674910,53.400000,1.840991,49.590000,0.000000
134,1.656790,53.884000,1.841189,49.310000,0.000000
135,1.634737,54.412000,1.813635,50.060000,0.000000
136,1.622967,54.594000,1.812217,49.960000,0.000000
137,1.631775,54.422000,1.816814,49.570000,0.000000
138,1.652794,54.134000,1.840844,49.580000,0.000000
139,1.613623,54.830000,1.808412,50.310000,0.000000
140,1.615538,54.744000,1.820165,49.790000,0.000000
141,1.609899,54.814000,1.806738,50.230000,0.000000
142,1.578665,55.650000,1.772446,51.190000,0.000000
