iter,train_loss,train_acc,test_loss,test_acc,time
1,2.304852,10.000000,2.304852,10.000000,0.000000
2,2.341301,10.000000,2.341301,10.000000,0.320618
3,2.356421,10.000000,2.356417,10.000000,0.745471
4,2.331694,10.000000,2.330968,10.000000,0.593799
5,2.366971,12.218000,2.362830,12.630000,0.533341
6,2.278044,11.910000,2.272333,12.230000,0.819481
7,2.282944,17.432000,2.275014,17.660000,0.551219
8,2.276094,18.668000,2.263747,18.890000,0.606034
9,2.241452,12.690000,2.229988,13.190000,0.832628
10,2.192156,14.784000,2.177342,15.510000,0.492405
11,2.157558,17.606000,2.141676,18.720000,0.979228
12,2.145313,19.986000,2.127998,20.260000,0.710209
13,2.124293,21.144000,2.101851,21.770000,0.676946
14,2.045335,22.114000,2.023562,23.620000,0.566361
15,2.033363,21.054000,2.008832,21.760000,0.611980
16,2.030677,22.612000,2.003477,23.640000,0.508905
17,1.960182,23.548000,1.927241,25.520000,0.792192
18,2.016334,22.268000,1.990756,23.600000,0.673276
19,2.007940,23.744000,1.975315,25.120000,0.605178
20,1.974746,22.694000,1.942551,23.830000,0.611867
21,1.970525,21.594000,1.940158,22.250000,0.469039
22,1.969513,22.006000,1.937120,23.180000,0.433530
23,1.931965,24.434000,1.896093,25.730000,0.479038
24,1.899196,26.618000,1.861147,28.740000,0.706928
25,1.952969,25.136000,1.915404,26.580000,0.516353
26,1.903971,26.808000,1.864805,28.460000,0.467576
27,1.882729,29.828000,1.850392,31.650000,0.393429
28,1.910501,29.230000,1.869857,31.230000,0.738150
29,1.869866,28.506000,1.827398,30.710000,0.658003
30,1.885664,26.764000,1.837482,29.090000,0.733602
31,1.824123,31.782000,1.782230,32.960000,0.818707
32,1.851635,31.500000,1.807164,33.180000,0.903791
33,1.799229,32.588000,1.764806,34.210000,0.856159
34,1.879624,26.248000,1.828889,28.780000,0.515455
35,1.810791,32.798000,1.767684,35.050000,0.552609
36,1.844635,29.524000,1.798778,31.820000,0.603840
37,1.833508,31.444000,1.777275,33.890000,0.936607
38,1.796956,32.670000,1.739240,35.640000,0.909542
39,1.838347,28.668000,1.787624,31.010000,0.456828
40,1.789046,32.734000,1.747853,34.780000,0.769936
41,1.808971,32.700000,1.753756,34.460000,0.697583
42,1.816133,29.568000,1.789705,30.810000,0.916469
43,1.762789,31.438000,1.714116,34.200000,0.735836
44,1.781820,32.124000,1.748662,34.100000,0.707712
45,1.774572,33.636000,1.717109,36.090000,0.626232
