iter,train_loss,train_acc,test_loss,test_acc,time
1,2.316186,10.000000,2.316186,10.000000,0.000000
2,2.330146,10.000000,2.330137,10.000000,0.029966
3,2.324590,10.052000,2.324390,10.070000,0.011019
4,2.318459,10.464000,2.316549,10.500000,0.010934
5,2.304158,11.242000,2.297477,11.530000,0.012042
6,2.243724,11.778000,2.229547,12.010000,0.011787
7,2.198458,14.342000,2.182825,15.710000,0.011289
8,2.142706,16.840000,2.123766,18.970000,0.011487
9,2.181705,18.968000,2.159114,20.400000,0.011924
10,2.080719,21.434000,2.056777,22.990000,0.012712
11,2.038937,21.890000,2.011799,23.800000,0.011801
12,1.962796,25.236000,1.935415,26.940000,0.011473
13,1.959325,25.540000,1.918506,27.380000,0.011369
14,1.899256,28.150000,1.865646,30.230000,0.012196
15,1.908913,27.670000,1.868030,30.620000,0.011257
16,1.861259,28.678000,1.825541,31.080000,0.015032
17,2.328714,15.554000,2.235601,17.360000,0.012106
18,1.865539,28.998000,1.819971,31.190000,0.011306
19,1.813257,31.172000,1.771750,33.250000,0.010822
20,1.811907,31.784000,1.792646,33.150000,0.011466
21,1.785890,33.088000,1.749367,35.320000,0.011802
22,1.778021,33.726000,1.750152,35.550000,0.011852
23,1.773475,34.236000,1.751581,35.490000,0.015094
24,1.755067,33.868000,1.733086,35.180000,0.011912
25,1.761272,34.100000,1.745438,35.810000,0.014035
26,1.731602,34.936000,1.701642,36.920000,0.011442
27,1.713495,36.342000,1.669842,38.860000,0.011164
28,1.704459,36.462000,1.676308,38.670000,0.010791
29,1.698972,36.520000,1.668803,38.640000,0.011546
30,1.706609,36.238000,1.685393,37.500000,0.011469
31,1.701757,36.510000,1.686857,37.830000,0.011557
32,1.686124,36.980000,1.664933,38.560000,0.010845
33,1.682871,37.254000,1.669729,38.640000,0.013357
34,1.679266,37.028000,1.661128,38.940000,0.011054
35,1.635421,38.912000,1.620803,40.990000,0.012896
36,1.639591,38.702000,1.609194,40.810000,0.013271
37,1.631252,39.602000,1.616170,40.600000,0.011354
38,1.646670,39.104000,1.624372,40.610000,0.012030
39,1.623328,39.878000,1.594036,41.690000,0.015229
40,1.637315,39.882000,1.617535,42.200000,0.011407
41,1.596970,41.144000,1.573821,42.770000,0.012593
42,1.580826,42.020000,1.546495,43.650000,0.011362
43,1.608346,40.930000,1.578620,42.630000,0.011054
44,1.596487,41.616000,1.575007,43.250000,0.012202
45,1.576620,42.662000,1.543584,43.930000,0.013573
46,1.536380,43.850000,1.510361,45.090000,0.010882
47,1.546568,43.580000,1.512352,44.980000,0.011109
48,1.544800,43.328000,1.521323,45.140000,0.010961
49,1.571137,43.276000,1.552729,43.980000,0.012776
50,1.559895,43.408000,1.533669,45.270000,0.011293
51,1.520776,44.946000,1.497027,46.130000,0.011741
52,1.481095,45.774000,1.455297,46.660000,0.011593
53,1.519325,45.036000,1.498675,46.240000,0.011806
54,1.515686,44.676000,1.485160,45.840000,0.010996
55,1.514340,45.044000,1.484799,46.370000,0.012380
56,1.487208,46.128000,1.458938,47.500000,0.011319
57,1.491192,45.880000,1.466862,46.570000,0.012589
58,1.499067,45.622000,1.454419,47.480000,0.013239
59,1.504888,45.578000,1.484195,46.940000,0.011210
60,1.467166,46.500000,1.448798,47.450000,0.012990
61,1.499454,45.356000,1.497600,46.250000,0.013574
62,1.455971,46.826000,1.444465,47.820000,0.010890
63,1.444658,47.206000,1.419777,48.680000,0.011405
64,1.442287,47.660000,1.423844,48.090000,0.010910
65,1.605612,42.320000,1.574542,44.240000,0.011199
66,1.454060,47.028000,1.429843,48.490000,0.011102
67,1.443535,47.816000,1.417186,48.870000,0.010915
68,1.440337,48.036000,1.424572,48.650000,0.011719
69,1.470831,47.122000,1.452433,47.740000,0.011396
70,1.600584,41.900000,1.579350,43.020000,0.011090
71,1.417143,49.324000,1.392570,49.840000,0.010980
72,1.401079,49.118000,1.392995,49.150000,0.010944
73,1.512091,45.430000,1.543730,45.100000,0.010702
74,1.374914,50.178000,1.371491,49.950000,0.011013
75,1.465977,47.098000,1.456496,47.680000,0.011134
76,1.395410,49.734000,1.383746,49.930000,0.010888
77,1.382341,50.536000,1.360599,50.650000,0.011746
78,1.368197,51.150000,1.346242,51.380000,0.013300
79,1.344446,51.300000,1.314374,52.170000,0.010990
80,1.358121,51.224000,1.329241,51.670000,0.012712
81,1.343151,51.894000,1.320582,52.150000,0.010999
82,1.329048,52.230000,1.303587,52.250000,0.011396
83,1.313238,52.526000,1.282313,53.330000,0.010946
84,1.301249,53.148000,1.278614,53.930000,0.012733
85,1.327320,52.410000,1.307165,53.080000,0.011545
86,1.320621,52.544000,1.300718,53.330000,0.011027
87,1.275170,54.224000,1.257527,54.700000,0.011065
88,1.287190,53.482000,1.271270,53.600000,0.010915
89,1.303576,53.390000,1.295388,53.680000,0.011996
90,1.296237,53.310000,1.278579,54.260000,0.011071
91,1.266115,54.676000,1.249822,55.150000,0.010995
92,1.256210,55.020000,1.237752,55.670000,0.011463
93,1.261808,55.072000,1.242698,55.440000,0.011490
94,1.240552,55.470000,1.225087,56.000000,0.011912
95,1.233435,55.888000,1.221448,56.240000,0.010902
96,1.265427,54.492000,1.258306,55.040000,0.011996
97,1.259449,54.950000,1.251281,55.690000,0.012803
98,1.226808,55.728000,1.211001,56.380000,0.011105
99,1.245448,55.594000,1.229790,56.240000,0.012332
100,1.209087,56.518000,1.193096,57.090000,0.011450
101,1.197307,56.816000,1.180994,57.450000,0.012006
102,1.203500,56.972000,1.185025,57.700000,0.011821
103,1.244306,55.768000,1.232589,56.410000,0.011393
104,1.216553,56.188000,1.202088,56.960000,0.012200
105,1.184862,57.608000,1.176853,58.340000,0.013173
106,1.207480,56.818000,1.204227,57.400000,0.012294
107,1.186700,57.580000,1.169661,58.440000,0.011473
108,1.158441,58.222000,1.146327,58.920000,0.011329
